Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
38,2024-08-15 03:45:00,0.00052,0.01087,0.007695,-2.1339,6385,0,1.00000omega,-0.460751 + -0.48120theta + 0.15308omega + 0.10434theta^2 + 0.01347theta omega + 0.01730omega^2 + -0.00344theta^3 + -0.00096theta^2 omega + 0.00930theta omega^2 + 0.09604omega^3
39,2024-08-15 03:50:00,0.001504,0.01949,0.013822,3.871,9999,0,1.00000omega,0.168561 + -0.01131theta + -0.49741omega + -0.00207theta^2 + 0.06693theta omega + -0.34692omega^2 + -0.03394theta^3 + 0.05630theta^2 omega + 0.17307theta omega^2 + 0.01844omega^3
40,2024-08-15 03:55:00,0.001043,0.029499,0.020872,25.15,2749,5,1.00000omega,0.068421 + -0.11737theta + -0.03853omega + -0.00142theta^2 + 0.00015theta omega + 0.07986omega^2 + -0.03075theta^3 + 0.00549theta^2 omega + 0.00545theta omega^2 + -0.01533omega^3
41,2024-08-15 04:00:00,0.000943,0.029345,0.020761,5.6439,9999,0,1.00000omega,-0.154921 + -0.02388theta + 0.00150omega + -0.00505theta^2 + -0.00039theta omega + -0.00179omega^2 + -0.00002theta^3 + -0.00004theta^2 omega + -0.01422theta omega^2 + -0.00023omega^3
42,2024-08-15 04:05:00,0.008378,0.114552,0.081217,5052.1401,6962,5,1.00000omega,-0.021071 + 0.01084theta + 0.01058omega + 0.00059theta^2 + -0.00084theta omega + -0.00226omega^2 + -0.00008theta^3 + -0.00010theta^2 omega + 0.00003theta omega^2 + 0.00039omega^3
43,2024-08-15 04:10:00,0.000942,0.012638,0.008961,-0.9322,9999,2,1.00000omega,-0.018051 + -0.37857theta + -0.13006omega + -0.05706theta^2 + -0.45014theta omega + 0.19053omega^2 + 0.00034theta^3 + -0.00383theta^2 omega + -0.20641theta omega^2 + -0.00287omega^3
44,2024-08-15 04:15:00,0.000442,0.008357,0.005918,-1.0875,7305,1,1.00000omega,-0.086401 + 0.00081theta + 0.07711omega + -0.16180theta^2 + 0.23026theta omega + -0.01392omega^2 + -0.08908theta^3 + -0.00052theta^2 omega + -0.01303theta omega^2 + 0.00842omega^3
45,2024-08-15 04:20:00,0.000464,0.011262,0.00797,-0.826,8118,0,1.00000omega,-0.002581 + 0.00716theta + -0.01282omega + 0.02675theta^2 + -0.03136theta omega + -0.06793omega^2 + -0.01073theta^3 + 0.01571theta^2 omega + 0.00519theta omega^2 + -0.01562omega^3
46,2024-08-15 04:25:00,,,,94.5484,2548,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
47,2024-08-15 04:30:00,0.003657,0.022898,0.016396,171.0473,9999,0,1.00000omega,-0.025181 + -0.00078theta + 0.09381omega + -0.00120theta^2 + 0.07715theta omega + -0.00191omega^2 + 0.00052theta^3 + 0.00097theta^2 omega + -0.00208theta omega^2 + 0.00065omega^3
48,2024-08-15 04:35:00,0.000529,0.013014,0.00921,-0.4512,9999,0,1.00000omega,0.054441 + -0.00391theta + 0.00863omega + -0.00814theta^2 + 0.01025theta omega + -0.02502omega^2 + -0.01033theta^3 + -0.00029theta^2 omega + -0.00015theta omega^2 + 0.00885omega^3
49,2024-08-15 04:40:00,0.00033,0.008901,0.006298,-3.9401,5582,0,1.00000omega,-0.100271 + -0.69945theta + 0.00452omega + 0.56621theta^2 + 0.32303theta omega + -0.06766omega^2 + -0.01396theta^3 + -0.13766theta^2 omega + 0.03529theta omega^2 + 0.01306omega^3
50,2024-08-15 04:45:00,,,,1319.0898,1079,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
51,2024-08-15 04:50:00,,,,3810.0293,882,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
52,2024-08-15 04:55:00,,,,10943.7324,1168,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
53,2024-08-15 05:00:00,0.003052,0.0357,0.025336,71.1115,4277,5,1.00000omega,-0.045081 + -0.09569theta + 0.00778omega + -0.02035theta^2 + -0.00858theta omega + 0.00029omega^2 + -0.00023theta^3 + -0.00166theta^2 omega + -0.00489theta omega^2 + 0.00667omega^3
54,2024-08-15 05:05:00,,,,9075.6465,655,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
55,2024-08-15 05:10:00,,,,3742.3604,947,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
56,2024-08-15 05:15:00,0.000243,0.007624,0.005394,0.7694,7227,0,1.00000omega,0.236581 + -0.01896theta + -0.00658omega + 0.03959theta^2 + 0.01818theta omega + 0.00651omega^2 + -0.29142theta^3 + 0.00167theta^2 omega + -0.09222theta omega^2 + 0.00410omega^3
57,2024-08-15 05:20:00,0.000158,0.004686,0.003316,0.7289,7140,2,1.00000omega,0.031981 + -0.03016theta + 0.01182omega + -0.03185theta^2 + 0.01539theta omega + 0.00283omega^2 + -0.00124theta^3 + -0.01140theta^2 omega + 0.00350theta omega^2 + -0.00371omega^3
58,2024-08-15 05:25:00,,,,602.4927,1135,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
59,2024-08-15 05:30:00,0.000325,0.010465,0.007403,-3.3184,6747,0,1.00000omega,-0.014161 + -0.06378theta + 0.01487omega + 0.00742theta^2 + 0.05805theta omega + -0.05044omega^2 + -0.10328theta^3 + -0.05555theta^2 omega + -0.00739theta omega^2 + 0.00803omega^3
60,2024-08-15 05:35:00,0.000604,0.01228,0.008694,3.5222,6712,1,1.00000omega,-0.201741 + -0.06849theta + -0.11763omega + 0.09695theta^2 + -0.00010theta omega + -0.01682omega^2 + -0.02013theta^3 + 0.00230theta^2 omega + -0.00816theta omega^2 + -0.01624omega^3
61,2024-08-15 05:40:00,0.000281,0.010109,0.007151,-0.3561,8096,0,1.00000omega,0.003401 + -0.00781theta + 0.01747omega + -0.03142theta^2 + 0.01979theta omega + 0.07563omega^2 + -0.02152theta^3 + -0.00092theta^2 omega + -0.00231theta omega^2 + 0.01428omega^3
62,2024-08-15 05:45:00,0.000219,0.005919,0.004188,-1.3672,6021,0,1.00000omega,-0.326451 + -0.38240theta + -0.04330omega + 0.16985theta^2 + -0.08791theta omega + 0.09947omega^2 + -0.21431theta^3 + -0.00974theta^2 omega + -0.02132theta omega^2 + 0.00080omega^3
63,2024-08-15 05:50:00,,,,859.7991,1185,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
64,2024-08-15 05:55:00,0.00038,0.013933,0.009856,5.8881,9699,0,1.00000omega,0.011201 + -0.00302theta + 0.00015omega + 0.00063theta^2 + 0.00416theta omega + -0.00164omega^2 + 0.00038theta^3 + -0.00122theta^2 omega + -0.00520theta omega^2 + 0.00176omega^3
65,2024-08-15 06:00:00,,,,4856.5181,955,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
66,2024-08-15 06:05:00,0.000616,0.009355,0.00663,9.7898,7090,0,1.00000omega,0.107301 + -0.31255theta + 0.01005omega + -0.10180theta^2 + 0.03189theta omega + 0.01273omega^2 + 0.00339theta^3 + 0.00295theta^2 omega + -0.01775theta omega^2 + -0.01715omega^3
67,2024-08-15 06:10:00,0.000402,0.01542,0.010907,2.6868,9170,0,1.00000omega,-0.684191 + 1.01351theta + -0.07324omega + 0.29050theta^2 + 0.07960theta omega + -0.06088omega^2 + -0.08912theta^3 + 0.02109theta^2 omega + -0.05375theta omega^2 + 0.01488omega^3
68,2024-08-15 06:15:00,,,,4359.9097,999,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
69,2024-08-15 06:20:00,0.000553,0.015351,0.010862,20.3099,4326,5,1.00000omega,-0.013971 + 0.00106theta + 0.02369omega + 0.00030theta^2 + 0.00051theta omega + -0.00477omega^2 + 0.00029theta^3 + 0.00011theta^2 omega + 0.00058theta omega^2 + 0.00060omega^3
70,2024-08-15 06:25:00,0.001034,0.019961,0.014133,42.5211,5427,5,1.00000omega,-0.001401 + 0.00235theta + 0.00221omega + 0.00021theta^2 + -0.00066theta omega + 0.00011omega^2 + -0.00001theta^3 + -0.00009theta^2 omega + -0.00007theta omega^2 + -0.00005omega^3
71,2024-08-15 06:30:00,0.000408,0.008212,0.005814,0.8068,9999,0,1.00000omega,-3.002631 + 0.47802theta + 1.80400omega + 0.31624theta^2 + -0.00359theta omega + -0.25084omega^2 + -0.05020theta^3 + -0.09855theta^2 omega + -0.00075theta omega^2 + -0.01434omega^3
72,2024-08-15 06:35:00,0.000425,0.010307,0.007295,0.3579,5370,1,1.00000omega,0.053561 + -0.23559theta + 0.06268omega + 0.20815theta^2 + 0.04558theta omega + 0.09572omega^2 + -0.19566theta^3 + -0.01876theta^2 omega + -0.00083theta omega^2 + 0.02846omega^3
73,2024-08-15 06:40:00,0.000436,0.010108,0.007154,-2.9623,5525,0,1.00000omega,0.227621 + -0.62500theta + -0.04501omega + -0.00735theta^2 + 0.10604theta omega + -0.14707omega^2 + 0.00490theta^3 + -0.02331theta^2 omega + 0.01097theta omega^2 + -0.05510omega^3
74,2024-08-15 06:45:00,0.000352,0.012572,0.008893,-2.5191,5349,0,1.00000omega,-0.031421 + -0.01440theta + -0.10913omega + -0.03284theta^2 + 0.03539theta omega + 0.11330omega^2 + -0.10992theta^3 + -0.00151theta^2 omega + 0.00824theta omega^2 + -0.00884omega^3
75,2024-08-15 06:50:00,0.000349,0.008081,0.00572,3.3549,7250,0,1.00000omega,-0.108231 + 0.02551theta + -0.01268omega + -0.00766theta^2 + -0.00278theta omega + 0.01157omega^2 + -0.01025theta^3 + -0.00142theta^2 omega + 0.01486theta omega^2 + -0.00633omega^3
76,2024-08-15 06:55:00,0.000364,0.009842,0.006964,1.0465,6413,0,1.00000omega,0.133711 + 1.59995theta + -0.09974omega + -0.04170theta^2 + 0.43638theta omega + -0.03347omega^2 + -0.50208theta^3 + -0.05948theta^2 omega + 0.06885theta omega^2 + 0.03306omega^3
77,2024-08-15 07:00:00,,,,1295.2406,829,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
78,2024-08-15 07:05:00,0.000384,0.006966,0.004933,-2.3548,7013,0,1.00000omega,-1.390211 + 2.24878theta + 1.56144omega + 0.21443theta^2 + -0.36968theta omega + 0.41088omega^2 + -0.44260theta^3 + -0.32776theta^2 omega + -0.23987theta omega^2 + -0.37939omega^3
79,2024-08-15 07:10:00,,,,3108.801,1119,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
80,2024-08-15 07:15:00,0.000201,0.005259,0.003721,1.9826,8357,0,1.00000omega,0.009711 + -0.07178theta + -0.19315omega + -0.00080theta^2 + -0.02141theta omega + 0.02277omega^2 + -0.00191theta^3 + 0.05463theta^2 omega + -0.01434theta omega^2 + -0.00702omega^3
81,2024-08-15 07:20:00,0.000516,0.013394,0.009478,3.5496,9999,0,1.00000omega,-0.115441 + 0.01009theta + -0.09862omega + 0.04372theta^2 + 0.00244theta omega + -0.00983omega^2 + -0.00589theta^3 + 0.00138theta^2 omega + -0.04024theta omega^2 + 0.00433omega^3
82,2024-08-15 07:25:00,0.000311,0.007684,0.005438,-0.1925,6401,0,1.00000omega,-0.182181 + 0.02532theta + 0.46186omega + 0.02779theta^2 + 0.22268theta omega + 0.04871omega^2 + -0.74910theta^3 + -0.43634theta^2 omega + 0.12936theta omega^2 + -0.01259omega^3
83,2024-08-15 07:30:00,0.000365,0.010411,0.007367,0.2241,5369,0,1.00000omega,0.607211 + 0.01438theta + -0.01699omega + -0.53630theta^2 + -0.20147theta omega + 0.02878omega^2 + -0.28279theta^3 + -0.06033theta^2 omega + -0.01388theta omega^2 + 0.01915omega^3
84,2024-08-15 07:35:00,0.000355,0.00977,0.006913,-1.2684,6066,0,1.00000omega,1.054471 + 0.13087theta + 0.01394omega + -0.63403theta^2 + 0.05177theta omega + 0.04464omega^2 + -0.30939theta^3 + -0.02748theta^2 omega + -0.02205theta omega^2 + 0.07979omega^3
85,2024-08-15 07:40:00,0.000304,0.006832,0.004836,-1.4055,6214,0,1.00000omega,-0.076941 + -0.86063theta + 0.09157omega + 0.12948theta^2 + 0.03401theta omega + -0.09205omega^2 + -0.45181theta^3 + -0.03377theta^2 omega + 0.40497theta omega^2 + -0.00177omega^3
86,2024-08-15 07:45:00,0.000303,0.007477,0.005292,-1.6134,8778,0,1.00000omega,0.087341 + -2.08171theta + -0.03033omega + -1.11957theta^2 + -0.17097theta omega + 0.56215omega^2 + 0.42580theta^3 + -0.15500theta^2 omega + 0.00273theta omega^2 + -0.00611omega^3
87,2024-08-15 07:50:00,0.000355,0.009806,0.006938,3.5115,9037,0,1.00000omega,0.011761 + 0.01590theta + 0.01198omega + 0.00263theta^2 + 0.00409theta omega + 0.00837omega^2 + -0.00009theta^3 + 0.00031theta^2 omega + 0.00069theta omega^2 + 0.00193omega^3
88,2024-08-15 07:55:00,0.000435,0.011521,0.008153,6.9929,7483,0,1.00000omega,0.022161 + -0.01011theta + 0.01608omega + -0.00837theta^2 + 0.00294theta omega + 0.00279omega^2 + -0.00057theta^3 + 0.00114theta^2 omega + -0.00074theta omega^2 + 0.00112omega^3
89,2024-08-15 08:00:00,0.000493,0.010757,0.007614,7.1186,8998,0,1.00000omega,-0.000761 + 0.00047theta + -0.00011omega + 0.00160theta^2 + -0.00330theta omega + -0.00177omega^2 + 0.00000theta^3 + 0.00013theta^2 omega + -0.01202theta omega^2 + -0.00031omega^3
90,2024-08-15 08:05:00,0.000324,0.009727,0.006882,-0.9646,8472,0,1.00000omega,0.608791 + -0.65455theta + -0.05537omega + -0.29939theta^2 + -0.01135theta omega + 0.00094omega^2 + -0.00299theta^3 + -0.00445theta^2 omega + -0.00092theta omega^2 + -0.00306omega^3
91,2024-08-15 08:10:00,0.000229,0.006179,0.004372,-0.2284,6939,0,1.00000omega,-0.385471 + 0.24937theta + -0.06856omega + 0.06067theta^2 + -0.00260theta omega + 0.00850omega^2 + -0.08387theta^3 + 0.03022theta^2 omega + 0.11428theta omega^2 + -0.02811omega^3
92,2024-08-15 08:15:00,0.000443,0.011762,0.008323,-1.8562,6823,0,1.00000omega,-0.014111 + 0.00773theta + 0.04634omega + 0.15970theta^2 + 0.01665theta omega + -0.10008omega^2 + -0.01706theta^3 + -0.08134theta^2 omega + 0.00644theta omega^2 + 0.07507omega^3
93,2024-08-15 08:20:00,0.000882,0.010371,0.00736,-1.7055,6805,0,1.00000omega,-0.005061 + 0.00125theta + -0.09874omega + 0.05521theta^2 + -0.02356theta omega + -0.04071omega^2 + -0.07829theta^3 + 0.13456theta^2 omega + -0.07781theta omega^2 + -0.06019omega^3
94,2024-08-15 08:25:00,0.000386,0.011489,0.008128,2.9187,9978,1,1.00000omega,0.011911 + -0.00215theta + 0.00111omega + -0.00859theta^2 + -0.00791theta omega + 0.00136omega^2 + 0.00012theta^3 + -0.00107theta^2 omega + -0.01119theta omega^2 + 0.00047omega^3
95,2024-08-15 08:30:00,0.000606,0.013297,0.009412,9.2754,3874,5,1.00000omega,-0.134501 + 0.03981theta + -0.18748omega + 0.02245theta^2 + -0.02028theta omega + -0.13515omega^2 + -0.01791theta^3 + 0.09969theta^2 omega + -0.01031theta omega^2 + -0.01865omega^3
96,2024-08-15 08:35:00,0.000776,0.010071,0.007142,17.946,9999,0,1.00000omega,0.016271 + -0.00671theta + 0.00429omega + -0.00016theta^2 + -0.01457theta omega + 0.00118omega^2 + -0.00036theta^3 + -0.00089theta^2 omega + -0.01414theta omega^2 + 0.00084omega^3
97,2024-08-15 08:40:00,0.000644,0.006715,0.00477,0.1103,9999,0,1.00000omega,-0.463861 + -0.31009theta + -0.08480omega + 0.26043theta^2 + -0.02388theta omega + -0.05477omega^2 + -0.09333theta^3 + 0.02646theta^2 omega + 0.17559theta omega^2 + -0.07300omega^3
