Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
115,2024-08-20 03:00:00,0.08903661,0,2.42662232e-03,5.50530111e-02,7.02171166e-02
116,2024-08-20 04:00:00,0.09173353,0,1.91611819e-03,5.52656546e-02,5.82458542e-02
117,2024-08-20 05:00:00,0.05443184,0,1.41591064e-03,6.37604897e-02,3.11854387e-02
118,2024-08-20 06:00:00,0.08374261,0,5.62163811e-04,8.21922374e-02,1.69144098e-02
119,2024-08-20 07:00:00,0.09121194,0,1.97590039e-03,7.52436159e-02,6.23083996e-02
120,2024-08-20 08:00:00,0.07963310,0,2.87633252e-03,7.95523330e-02,7.34460834e-02
121,2024-08-20 09:00:00,0.07406957,0,2.68689451e-03,3.96385751e-02,7.21946861e-02
122,2024-08-20 10:00:00,0.09752264,0,2.88736362e-03,3.13242256e-02,8.46899945e-02
123,2024-08-20 11:00:00,0.06523329,0,2.51522036e-03,5.47807788e-02,5.83774490e-02
124,2024-08-20 12:00:00,0.05916556,0,1.08163562e-03,6.76685339e-02,2.48362807e-02
125,2024-08-20 13:00:00,0.06314336,0,1.03663892e-03,5.36543667e-02,3.18232000e-02
126,2024-08-20 14:00:00,0.08460389,0,-8.79150199e-05,8.35114364e-02,2.27151791e-02
127,2024-08-20 15:00:00,0.10077867,0,-2.45706884e-03,7.09153921e-02,-6.63936110e-02
128,2024-08-20 16:00:00,0.06064726,0,-1.00967837e-04,6.04282884e-02,-7.26554520e-04
129,2024-08-20 17:00:00,0.05552242,0,8.20133507e-04,4.81959136e-02,2.61808636e-02
130,2024-08-20 18:00:00,0.06369883,0,1.28093925e-03,5.37978144e-02,3.62997748e-02
131,2024-08-20 19:00:00,0.05785044,0,1.50289534e-03,7.20585802e-02,2.84080986e-02
132,2024-08-20 20:00:00,0.07308583,0,-7.07770459e-04,7.76602442e-02,-9.43488683e-03
133,2024-08-20 21:00:00,0.04740302,0,-9.24818650e-04,6.10639268e-02,-2.17327904e-02
134,2024-08-20 22:00:00,0.10223766,0,-2.60787026e-03,7.96132580e-02,-7.94637266e-02
135,2024-08-20 23:00:00,0.05237693,0,-1.52778263e-03,7.72033294e-02,-3.00922887e-02
136,2024-08-21 00:00:00,0.13599043,0,1.73236060e-03,9.34895733e-02,7.02008116e-02
137,2024-08-21 01:00:00,0.11346103,0,4.25125195e-03,3.74725335e-02,1.16705373e-01
138,2024-08-21 02:00:00,0.12040995,0,3.16374524e-03,5.50918288e-02,9.98305967e-02
139,2024-08-21 03:00:00,0.08865095,0,3.60724467e-03,6.07847499e-02,8.02130718e-02
140,2024-08-21 04:00:00,0.10701082,0,-1.22775258e-04,1.03950093e-01,3.20217322e-02
141,2024-08-21 05:00:00,0.15199075,0,3.56838705e-03,6.54578057e-02,1.10890414e-01
142,2024-08-21 06:00:00,0.07525899,0,2.98278790e-03,5.30150834e-02,7.61173609e-02
143,2024-08-21 07:00:00,0.06427349,0,2.27120862e-03,1.00136828e-01,3.13030717e-02
144,2024-08-21 08:00:00,0.05770045,0,-2.41095716e-04,6.19307309e-02,8.02092887e-03
145,2024-08-21 09:00:00,0.05781467,0,-6.66412343e-04,4.83373008e-02,-2.07021794e-02
146,2024-08-21 10:00:00,0.04695194,0,-9.07686068e-04,5.39776478e-02,-7.86492513e-03
147,2024-08-21 11:00:00,0.05330051,0,1.02647501e-03,3.24558247e-02,3.13120670e-02
148,2024-08-21 12:00:00,0.05529801,0,7.41136254e-04,3.95854294e-02,2.83977388e-02
149,2024-08-21 13:00:00,0.05002338,0,1.26280846e-03,4.22254190e-02,3.36888716e-02
150,2024-08-21 14:00:00,0.05368879,0,-1.22787231e-03,6.88784650e-02,-1.50784680e-02
151,2024-08-21 15:00:00,0.09592416,0,3.69838848e-05,9.26522649e-02,-2.78247836e-02
152,2024-08-21 16:00:00,0.06188122,0,-2.22691208e-03,4.71159726e-02,-5.48173939e-02
153,2024-08-21 17:00:00,0.08916530,0,-5.34946471e-04,8.54285488e-02,-2.06573548e-02
154,2024-08-21 18:00:00,0.10160594,0,-1.24082095e-04,1.01837762e-01,-2.43662693e-02
155,2024-08-21 19:00:00,0.06213154,0,-1.63256372e-03,5.54475431e-02,-4.35153575e-02
156,2024-08-21 20:00:00,0.05743065,0,-1.06615246e-03,5.02434554e-02,-3.23471841e-02
157,2024-08-21 21:00:00,0.10001415,0,-6.09651037e-04,9.97947630e-02,-2.05993900e-02
158,2024-08-21 22:00:00,0.08259338,0,4.41038165e-04,8.80031796e-02,1.21570682e-02
159,2024-08-21 23:00:00,0.06662755,0,-2.94494580e-03,1.02538022e-01,-4.60040454e-02
160,2024-08-22 00:00:00,0.11504350,0,2.04404407e-03,7.38211850e-02,7.13540251e-02
161,2024-08-22 01:00:00,0.04898966,0,1.19229907e-03,4.12502919e-02,3.63655793e-02
162,2024-08-22 02:00:00,0.17009802,0,4.28925929e-03,6.09632947e-02,1.36568963e-01
163,2024-08-22 03:00:00,0.17334737,0,4.21385347e-03,8.08569142e-02,1.23956934e-01
164,2024-08-22 04:00:00,0.08938134,0,2.61142696e-03,5.47362356e-02,7.03146293e-02
165,2024-08-22 05:00:00,0.14529802,0,4.67960424e-03,3.92825435e-02,1.34040955e-01
166,2024-08-22 06:00:00,0.11590890,0,3.18703116e-03,5.47467768e-02,9.16792610e-02
167,2024-08-22 07:00:00,0.05062543,0,2.54316096e-03,4.22241203e-02,5.84713254e-02
168,2024-08-22 08:00:00,0.06067693,0,1.91415270e-03,2.87401370e-02,5.28381668e-02
169,2024-08-22 09:00:00,0.03370126,0,5.64580663e-04,4.02763077e-02,7.80676410e-03
170,2024-08-22 10:00:00,0.04154192,0,-1.20128771e-03,3.58722562e-02,-2.51743321e-02
171,2024-08-22 11:00:00,0.04839662,0,1.02237359e-03,3.91391022e-02,3.03080805e-02
172,2024-08-22 12:00:00,0.06069453,0,1.20268900e-03,3.97261069e-02,3.70381801e-02
173,2024-08-22 13:00:00,0.06565343,0,-1.51158174e-03,6.79164432e-02,-2.73869164e-02
174,2024-08-22 14:00:00,0.07027910,0,9.50544246e-04,5.87130462e-02,3.79555886e-02
175,2024-08-22 15:00:00,0.09413648,0,-3.96895376e-05,9.15284161e-02,-1.85913577e-02
176,2024-08-22 16:00:00,0.09052621,0,2.29867249e-03,5.78483319e-02,6.16545565e-02
177,2024-08-22 17:00:00,0.12763838,0,2.81676421e-03,6.72279236e-02,8.75857317e-02
178,2024-08-22 18:00:00,0.09244819,0,1.88553230e-03,7.51809549e-02,6.26826040e-02
179,2024-08-22 19:00:00,0.10750825,0,-1.60138601e-03,9.73367488e-02,-3.87174521e-02
180,2024-08-22 20:00:00,0.11417925,0,1.43891151e-03,9.07584293e-02,4.80096421e-02
181,2024-08-22 21:00:00,0.13027460,0,2.43194215e-03,8.52935859e-02,7.84973299e-02
182,2024-08-22 22:00:00,0.10970992,0,1.28085573e-03,1.05555377e-01,2.61740271e-02
183,2024-08-22 23:00:00,0.14722881,0,1.15606869e-03,1.22635003e-01,5.77006547e-02
184,2024-08-23 00:00:00,0.17159281,0,5.17262372e-03,3.92447575e-02,1.48163903e-01
185,2024-08-23 01:00:00,0.10740966,0,4.65135734e-03,7.51007581e-02,1.06212734e-01
186,2024-08-23 02:00:00,0.16454868,0,5.42367626e-03,7.34672663e-02,1.55799159e-01
187,2024-08-23 03:00:00,0.08050274,0,1.24158422e-03,9.92093029e-02,1.24211742e-02
188,2024-08-23 04:00:00,0.10039060,0,-2.03068869e-03,9.25551618e-02,-4.59742844e-02
189,2024-08-23 05:00:00,0.14103160,0,4.77088192e-03,2.61352310e-02,1.32386800e-01
190,2024-08-23 06:00:00,0.13409257,0,-2.33497300e-03,8.59422278e-02,-7.66139210e-02
