Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
7881,2024-09-11 12:05:00,0.022342,0.937569,0.66315,-1.473828535444448e+26,3630,5,1.00000omega,-0.016211 + 0.00052theta + -0.00145omega + 0.00003theta^2 + -0.00007theta omega + 0.00129omega^2
7882,2024-09-11 12:10:00,0.004244,0.037996,0.027034,-0.1606,1407,0,1.00000omega,-0.000461 + -0.00161theta + -0.00191omega + -0.00020theta^2 + -0.00101theta omega + -0.00040omega^2
7883,2024-09-11 12:15:00,,,,1023.5056,27,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7884,2024-09-11 12:20:00,,,,111.7318,28,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7885,2024-09-11 12:25:00,,,,563.4779,109,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7886,2024-09-11 12:30:00,0.004512,0.18719,0.132402,3.3944,3193,0,1.00000omega,-0.000751 + -0.00035theta + -0.00170omega + 0.00004theta^2 + -0.00015theta omega + 0.00022omega^2
7887,2024-09-11 12:35:00,,,,-7.03400975760539e+30,1965,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7888,2024-09-11 12:40:00,,,,374.8411,19,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7889,2024-09-11 12:45:00,0.004153,0.120923,0.085556,2.3102,1902,0,1.00000omega,-0.003201 + -0.00017theta + 0.00182omega + 0.00009theta^2 + 0.00006theta omega + -0.00095omega^2
7890,2024-09-11 12:50:00,,,,1343.9143,25,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7891,2024-09-11 12:55:00,0.016409,0.389139,0.275408,280.8918,2131,0,1.00000omega,0.000061 + -0.00007theta + -0.00107omega + 0.00001theta^2 + -0.00000theta omega + -0.00001omega^2
