chunk_id,t_start,n_points,equation,loss,complexity,sim_ok,rmse_omega,rmse_omega_std,rmse_theta,rmse_theta_std,const,omega_coef,theta_coef,omega_theta_coef,omega2_coef,theta2_coef,omega3_coef,theta2_omega_coef,theta_omega2_coef,theta3_coef
150,150,3600,(x1 * -0.009090466621352603) + ((x0 * -1.5386250463668e-5) + -0.005573744102754674),6.887697042185923e-13,9,True,0.0002086565978211,0.0002086560324914,0.1327676214723283,0.132766282004761,-0.0055737441027546,-0.0090904666213526,-1.5386250463668e-05,,,,,,,
151,151,3600,x1 * -0.002252617547336938,9.501213309991082e-22,3,True,5.406267091511722e-10,3.8523481421091774e-10,0.0003287816741619,7.845710199091838e-05,,-0.0022526175473369,,,,,,,,
152,152,3600,(x1 * ((0.026297363458567563 - x1) * -0.09108078327967994)) - 3.864991660051942e-12,4.567621470574593e-23,9,True,1.910879205424977e-09,1.9021551330632276e-09,2.402049917598813e-06,9.54457504299149e-07,-3.864991660051942e-12,-0.0023951844619967,,,0.0910807832796799,,,,,
153,153,3600,x1 * (1.4923459453344132 - (-0.896210301118564 * -2.223911021732296)),6.698728404404125e-23,7,True,5.981736786961383e-07,5.851662394605953e-07,1.2002320149685168e-06,1.1686839510694495e-06,,-0.5007460211131812,,,,,,,,
154,154,3600,5.456058504981394e-19,4.805962331991168e-36,1,True,1.0544883509552108e-15,5.223261343892034e-16,3.898148507560305e-11,1.926157044285028e-11,5.456058504981394e-19,,,,,,,,,
155,155,3600,x1 * (x1 - (-0.1018438307703054 * x1)),1.1574790713469224e-55,7,True,7.06996849727735e-25,3.5357221234496783e-25,3.608954109201576e-11,1.805525070346024e-11,,,,,1.1018438307703051,,,,,
156,156,3600,(0.0028869982634951398 - ((x0 * 7.969522381965925e-6) - (x1 * -0.004708533593729503))) * 1.9306364582166877,6.887697042192499e-13,11,True,0.0002086565796171,0.0002086560142459,0.1327676342505847,0.1327662946254544,0.0055737441023119,-0.0090904666207922,-1.5386250465197314e-05,,,,,,,
157,157,3600,(x1 - x1) - (x1 * 0.002252618762410563),9.501760549610957e-22,7,True,4.714443303341056e-10,3.3585939775352524e-10,0.0003289217252332,7.85075079002353e-05,,-0.0022526187624105,,,,,,,,
158,158,3600,(-0.0027417394294646847 * x1) * 0.8570719686256196,2.8199452268149616e-23,5,True,1.6127519632034063e-09,1.162107998884768e-09,3.3967555140205257e-06,1.2518922976935056e-06,,-0.0023498680102697,,,,,,,,
159,159,3600,-1.8361726908170493e-14,1.0306945757881995e-27,1,True,2.7905672163581325e-11,1.2688282180538751e-11,6.13757435348854e-08,3.0119908960621725e-08,-1.8361726908170493e-14,,,,,,,,,
160,160,3600,x1 * ((-0.5540717947526232 * x1) + (x0 - x0)),5.102847098808215e-36,9,True,1.911810390579041e-15,2.305905102000189e-16,4.0977009195227416e-11,2.0517340210609383e-11,,,,,-0.5540717947526232,,,,,
161,161,3600,((0.35796494252602706 + x0) - x0) * x1,3.956557858260975e-29,7,True,1755058925949545.8,432578674555703.7,3.425494172600664e+18,1.8631787899727772e+18,,0.357964942526027,,,,,,,,
162,162,3600,((x0 * -1.538625047109025e-5) + -0.0055737441044764946) - (x1 * 0.009090466628519409),6.887697042219769e-13,9,True,0.0002086566936583,0.000208656128287,0.1327676554995074,0.1327663156336478,-0.0055737441044764,-0.0090904666285194,-1.538625047109025e-05,,,,,,,
163,163,3600,((x0 * 5.068592051388522e-6) + 5.1380857891725824e-11) - -0.001836128855407928,9.49802289173741e-22,7,True,0.0001683374596262,0.000146155910274,0.074773401608447,0.0648953621390234,0.0018361289067887,,5.068592051388522e-06,,,,,,,
164,164,3600,(x1 * -0.00153110783791888) + 1.95597149588167e-11,1.1695942540215969e-21,5,True,1.26932927360076e-08,1.2510450554802824e-08,1.7149333303071698e-05,6.682058392246859e-06,1.95597149588167e-11,-0.0015311078379188,,,,,,,,
165,165,3600,(x1 * (0.42106036539286756 - (-0.022012389894760082 + -2.3581375200910473))) * x1,1.3678474335235611e-27,9,True,5.962460383084701e-11,1.4252293590902256e-11,1.1302024571184753e-07,6.404620693604164e-08,,,,,2.8012102753786747,,,,,
166,166,3600,((x1 - -1.034045566852823) * x1) * (x1 * x1),5.102847099016235e-36,9,True,1.9118103909666517e-15,2.305905102855093e-16,4.0977009195227416e-11,2.0517340210609383e-11,,,,,,,1.034045566852823,,,
167,167,3600,(x1 * x1) * x1,2.943808721334936e-83,5,True,0.0,0.0,3.608954109201576e-11,1.805525070346024e-11,,,,,,,1.0,,,
168,168,3600,((x0 * -1.5386250475845975e-5) - -0.0055737441162942054) - (x1 * 0.00909046665611591),6.887697042956487e-13,9,True,0.0002086571457556,0.0002086565808012,0.1327675873101482,0.1327662484583761,0.0055737441162942,-0.0090904666561159,-1.5386250475845975e-05,,,,,,,
169,169,3600,x1 - (x1 * 1.0022526174900321),9.501211547271257e-22,5,True,5.438894965247663e-10,3.875634860496207e-10,0.0003287750692481,7.845472488684966e-05,,-0.0022526174900321,,,,,,,,
170,170,3600,((x1 - 0.03503880984781236) * 0.0613937043059156) * x1,3.069618816391555e-23,7,True,1.798184671279531e-09,1.2694569025858042e-09,3.621336170030743e-06,1.3904922603198449e-06,,-0.0021511623310277,,,0.0613937043059156,,,,,
171,171,3600,-7.896461262646426e-15,1.1402163566292988e-27,1,True,4.4769057066600346e-11,9.785605104825951e-12,9.059116207310856e-08,4.919088488509591e-08,-7.896461262646426e-15,,,,,,,,,
172,172,3600,x1 * 0.49351129677241806,7.569304374602867e-29,3,False,,,,,,0.493511296772418,,,,,,,,
173,173,3600,x1 - x1,0.0,3,True,0.0,0.0,3.608954109201576e-11,1.805525070346024e-11,0.0,,,,,,,,,
174,174,3600,-0.005573744115065479 - ((x1 * 0.009090466658314181) + (x0 * 1.538625051471093e-5)),6.887697043001536e-13,9,True,0.000208656909897,0.0002086563443041,0.1327678133287056,0.1327664719559896,-0.0055737441150654,-0.0090904666583141,-1.538625051471093e-05,,,,,,,
175,175,3600,x1 - (x1 * 1.002252617486747),9.501211512350265e-22,5,True,5.440765443251174e-10,3.8769698316501166e-10,0.000328774690598,7.845458862095706e-05,,-0.0022526174867469,,,,,,,,
176,176,3600,x1 * -0.0019372953503862822,2.964600389865394e-22,3,True,6.036668228488709e-09,4.146168816370348e-09,1.2544914056372917e-05,4.891184073643916e-06,,-0.0019372953503862,,,,,,,,
177,177,3600,1.8411704452714342e-14,1.0306970735631696e-27,1,True,2.7841393854082963e-11,1.2722877189911792e-11,6.123883091358331e-08,3.0032446440314696e-08,1.8411704452714342e-14,,,,,,,,,
178,178,3600,x1 * x1,5.102847098640797e-36,3,True,1.9118103902670564e-15,2.305905101312078e-16,4.0977009195227416e-11,2.0517340210609383e-11,,,,,1.0,,,,,
179,179,3600,((x1 - x1) * ((-0.9958607999347395 + x1) - -0.3999981302271843)) * -0.10480063855164468,0.0,11,True,0.0,0.0,3.608954109201576e-11,1.805525070346024e-11,0.0,,,,,,,,,
180,180,3600,(0.005573744109157226 - x0) - ((x0 + (x1 * -0.009090606500960502)) * -0.9999846137495201),6.887697039899264e-13,11,True,0.0002086565725796,0.0002086560072706,0.1327676392138371,0.1327662998893515,0.0055737441091572,-0.0090904666306118,-1.5386250479906827e-05,,,,,,,
181,181,3600,x1 * -0.0022526174105255703,9.501212689856579e-22,3,True,5.484163982842701e-10,3.9079436693617784e-10,0.0003287659051738,7.845142678049212e-05,,-0.0022526174105255,,,,,,,,
182,182,3600,((x1 + 0.06259117938629297) * -0.8493262934922798) * (x1 - (x1 * 0.9603584967248495)),6.2911811916208e-23,11,True,2.613912127001842e-09,1.8359028421489382e-09,5.321994537646246e-06,2.0458234960710924e-06,,-0.0021073555699668,,,-0.0336685710451456,,,,,
183,183,3600,-1.2739809207573671e-14,1.0623005321694706e-27,1,True,3.632499297860222e-11,9.825553152207849e-12,7.696430178505088e-08,4.022638718704039e-08,-1.2739809207573671e-14,,,,,,,,,
184,184,3600,-5.445768378161234e-19,4.805961880215438e-36,1,True,1.0556145607984625e-15,5.213493255829913e-16,3.898154419222687e-11,1.9261606737383e-11,-5.445768378161234e-19,,,,,,,,,
185,185,3600,((x1 - x1) * 1.1588985872824102) * x0,0.0,7,True,0.0,0.0,3.608954109201576e-11,1.805525070346024e-11,0.0,,,,,,,,,
186,186,3600,((x0 * -1.5386250463495638e-5) + 0.3790404992041652) - ((x1 * 0.00909046662122217) + 0.3846142433068518),6.887697042182227e-13,11,True,0.0002086565972008,0.0002086560318709,0.1327676211942939,0.1327662817270153,-0.0055737441026866,-0.0090904666212221,-1.5386250463495638e-05,,,,,,,
187,187,3600,x1 * -0.002252614292034716,9.504546496367102e-22,3,True,7.259785776076631e-10,5.175236814931538e-10,0.0003284064721085,7.832207952894911e-05,,-0.0022526142920347,,,,,,,,
188,188,3600,x1 * ((-0.14829164952968468 - x1) * 0.015328833366069296),1.2553391755927576e-24,7,True,3.48756027389629e-10,2.4944270632174427e-10,8.142207067361305e-07,2.913742232907208e-07,,-0.00227313798522,,,-0.0153288333660692,,,,,
189,189,3600,x1 * 0.03133435972377513,3.040987335138895e-25,3,True,4.0992039011246577e+37,4.062699493870927e+37,1.3082137108467425e+39,1.2965637497256183e+39,,0.0313343597237751,,,,,,,,
190,190,3600,5.447282118682206e-19,4.805961813822693e-36,1,True,1.0554486920664802e-15,5.214929973396515e-16,3.898154419222687e-11,1.9261606737383e-11,5.447282118682206e-19,,,,,,,,,
191,191,3600,x1 * x1,9.533954136506392e-56,3,True,6.415930034751947e-25,3.2086189891895144e-25,3.608954109201576e-11,1.805525070346024e-11,,,,,1.0,,,,,
192,192,3600,((x1 * 0.9909095333786464) + ((x0 * -1.538625046366928e-5) + 0.00557374410275518)) - x1,6.887697042185373e-13,11,True,0.0002086565978263,0.0002086560324966,0.1327676214744222,0.1327662820068504,0.0055737441027551,-0.0090904666213535,-1.538625046366928e-05,,,,,,,
193,193,3600,x1 * -0.002252616086237169,9.501844810417197e-22,3,True,6.238187145210134e-10,4.4460994704608206e-10,0.0003286132680876,7.839649531374636e-05,,-0.0022526160862371,,,,,,,,
194,194,3600,(-0.328732661861167 - -0.33197058900066845) * (x1 * -0.7673267227040209),1.603881500056066e-22,7,True,3.6871795633924494e-09,2.6883686619082483e-09,7.5873748672959745e-06,2.780275400637912e-06,,-0.002484548020308,,,,,,,,
195,195,3600,-1.8361726858539653e-14,1.0306945757881999e-27,1,True,2.790567222753216e-11,1.2688282146242449e-11,6.137574354912337e-08,3.0119908961600326e-08,-1.8361726858539653e-14,,,,,,,,,
196,196,3600,-5.445892455253117e-19,4.8059618730491566e-36,1,True,1.0556009624546161e-15,5.213611016602094e-16,3.898154419222687e-11,1.9261606737383e-11,-5.445892455253117e-19,,,,,,,,,
197,197,3600,(x1 + x1) + -3.514376314631396e-14,6.0762162512647e-44,5,False,,,,,-3.5143763146313964e-14,2.0,,,,,,,,
198,198,3600,((x1 * -0.00909046662442007) + (x0 * -1.5386250467521386e-5)) + -0.005573744103571337,6.887697042192422e-13,9,True,0.000208656631448,0.0002086560660936,0.1327676383902993,0.1327662987352779,-0.0055737441035713,-0.00909046662442,-1.5386250467521386e-05,,,,,,,
199,199,3600,0.0018361288516538065 - (x0 * -5.068591899172834e-6),9.498021720248673e-22,5,True,0.0001683340452679,0.0001461529467989,0.0747718856024216,0.0648940460908416,0.0018361288516538,,5.068591899172834e-06,,,,,,,
200,200,3600,((x1 + x1) - -0.5682601434411153) * (x1 * -0.004748403485912766),5.923254892449559e-22,9,True,6.651038776224452e-09,4.927407341014289e-09,1.346677975293484e-05,4.858802342774665e-06,,-0.002698328446021,,,-0.0094968069718255,,,,,
201,201,3600,x1 * x1,1.367847529951386e-27,3,True,5.962461901811671e-11,1.4252299689814756e-11,1.1302024636151973e-07,6.404620732488061e-08,,,,,1.0,,,,,
202,202,3600,(x1 * (x1 + x1)) * x1,5.102847099016235e-36,7,True,1.9118103909666517e-15,2.305905102855093e-16,4.0977009195227416e-11,2.0517340210609383e-11,,,,,,,2.0,,,
