Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
62,2024-08-15 05:45:00,0.041991,2.723712,1.926184,1.009 omega + -0.062 omega^2 + -0.001 theta^2 omega,-0.052 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051909630714,0.0
63,2024-08-15 05:50:00,0.077523,12.016036,8.496797,1.006 omega + -0.004 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2024-08-15 05:55:00,0.042404,1.984344,1.403463,-0.001 1 + 0.962 omega + -0.001 theta omega + -0.316 omega^2 + -0.011 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2024-08-15 06:00:00,0.142486,20.141762,14.242733,1.004 omega + -0.030 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2024-08-15 06:05:00,0.034672,2.071387,1.464897,1.008 omega + -0.004 theta omega + -0.004 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2024-08-15 06:10:00,0.050138,3.376095,2.387523,1.001 omega + -0.023 omega^2 + -0.004 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2024-08-15 06:15:00,0.036637,4.245248,3.001955,0.001 1 + 1.025 omega + 0.192 omega^2 + 0.005 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2024-08-15 06:20:00,0.031728,1.532212,1.08367,1.002 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2024-08-15 06:25:00,0.045762,4.647215,3.286237,0.001 1 + 1.003 omega + -0.003 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2024-08-15 06:30:00,0.04273,2.09255,1.479965,1.003 omega + -0.001 theta omega + 0.008 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2024-08-15 06:35:00,0.060644,2.42227,1.713341,0.997 omega + -0.006 theta omega + 0.030 omega^2 + -0.001 theta^2 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2024-08-15 06:40:00,0.128574,13.998555,9.898891,1.004 omega + -0.001 theta omega + -0.019 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2024-08-15 06:45:00,0.079283,11.299038,7.989823,0.993 omega + 0.249 omega^3,-0.048 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047502589778,0.0
75,2024-08-15 06:50:00,0.077072,12.908928,9.128153,1.005 omega + 0.001 theta omega + -0.017 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2024-08-15 06:55:00,0.063939,7.219889,5.105432,1.002 omega + -0.001 theta omega + -0.010 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2024-08-15 07:00:00,0.095436,15.726346,11.120411,1.001 omega + 0.238 omega^2 + -0.005 theta omega^2 + -1.002 omega^3,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2024-08-15 07:05:00,0.06009,5.64035,3.988556,1.002 omega + -0.001 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2024-08-15 07:10:00,0.060512,7.393572,5.22822,1.000 omega + -0.046 omega^2 + -0.003 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2024-08-15 07:15:00,0.02576,2.225138,1.573515,1.006 omega + 0.001 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2024-08-15 07:20:00,0.150796,23.815024,16.840103,1.002 omega + -0.005 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2024-08-15 07:25:00,0.041841,2.703334,1.911775,1.012 omega + -0.005 theta omega + -0.029 omega^2 + -0.006 theta^2 omega + -0.143 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2024-08-15 07:30:00,0.050365,1.838422,1.300448,1.010 omega + 0.001 theta omega + -0.006 omega^2 + -0.001 theta^2 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2024-08-15 07:35:00,0.119429,16.4294,11.617647,1.001 omega + -0.002 theta omega + -0.168 omega^2 + -0.098 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2024-08-15 07:40:00,0.04325,1.910348,1.351166,1.003 omega + -0.002 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2024-08-15 07:45:00,0.040799,3.723664,2.633186,1.018 omega + 0.012 theta omega + 0.089 omega^2 + 0.002 theta^2 omega,-0.081 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.081368109707,0.0
87,2024-08-15 07:50:00,0.042304,5.772164,4.081646,0.983 omega + 0.003 theta omega + 0.182 omega^2 + -0.030 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2024-08-15 07:55:00,0.037409,2.302113,1.628054,1.000 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2024-08-15 08:00:00,0.036348,1.043771,0.738505,1.003 omega + -0.002 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2024-08-15 08:05:00,0.087106,10.920709,7.722353,1.001 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2024-08-15 08:10:00,0.072608,11.776031,8.327069,0.993 omega + -0.001 theta omega + -0.201 omega^2 + -0.033 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2024-08-15 08:15:00,0.187287,26.10352,18.458451,1.001 omega + 0.065 omega^2 + -0.009 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2024-08-15 08:20:00,0.097966,7.115311,5.031762,1.001 omega + 0.003 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2024-08-15 08:25:00,0.058032,6.319101,4.468467,0.997 omega + 0.040 omega^2 + -0.002 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2024-08-15 08:30:00,0.051929,6.306374,4.459431,1.016 omega + 0.001 theta omega + 0.043 omega^2 + -0.081 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2024-08-15 08:35:00,0.041619,4.952137,3.501814,0.994 omega + 0.128 omega^2 + -0.008 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2024-08-15 08:40:00,0.065163,7.359,5.203803,0.983 omega + -0.001 theta omega + -0.414 omega^2 + -0.050 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2024-08-15 08:45:00,0.058776,3.328667,2.35409,1.010 omega + -0.002 theta omega + 0.113 omega^2 + -0.081 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2024-08-15 08:50:00,0.030062,2.230553,1.577382,0.992 omega + 0.006 theta omega + -0.001 theta^2 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2024-08-15 08:55:00,0.069858,6.853684,4.846538,1.003 omega + 0.004 omega^2 + -0.008 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2024-08-15 09:00:00,0.068224,12.186661,8.617406,1.014 omega + -0.086 omega^2 + -0.013 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2024-08-15 09:05:00,0.092887,5.795602,4.098636,0.996 omega + 0.001 theta omega + 0.111 omega^2 + -0.019 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2024-08-15 09:10:00,0.059413,9.065131,6.410153,0.994 omega + -0.004 theta omega + 0.081 omega^2 + 0.003 theta^2 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2024-08-15 09:15:00,0.034193,2.657951,1.87961,-0.001 1 + 1.012 omega + 0.001 theta omega + 0.023 omega^2 + -0.012 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
