Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
57017,2025-03-10 16:30:00,0.010822,0.273452,0.193511,0.110748,9.353903,6.614672,4.8086,1798,0,1.00000omega,0.000221 + 0.00009theta + -0.00165omega + -0.00020theta^2 + -0.00057theta omega + -0.00005omega^2,-2.0e-5*omega**2 - 7.0e-6*omega*theta - 0.000158*omega - 2.0e-6*theta - 1.4e-5,1.098407e-03,6.414295e-05
57018,2025-03-10 16:35:00,0.011041,0.044526,0.032438,0.147643,4.461231,3.156294,3.7550,1054,0,1.00000omega,0.017461 + -1.28197theta + 0.01526omega + -0.00219theta^2 + -0.01278theta omega + 0.01354omega^2,0.004802*omega**2 - 0.000151*omega*theta + 0.000874*omega - 0.e-6*theta**2 - 0.00142*theta + 0.003496,8.587515e-04,5.204662e-05
57019,2025-03-10 16:40:00,0.026968,0.141354,0.101755,0.134985,10.111206,7.150339,21.1653,393,1,1.00000omega,0.010321 + -0.01904theta + 0.00247omega + -0.00137theta^2 + -0.00520theta omega + 0.00016omega^2,4.3e-5*omega**2 - 4.7e-5*omega*theta - 0.000382*omega - 2.9e-5*theta - 0.000209,8.782343e-02,9.508552e-05
57020,2025-03-10 16:45:00,0.010203,0.127496,0.090441,0.165150,10.974274,7.760862,-0.9662,2194,0,1.00000omega,-0.006461 + -0.00015theta + -0.00274omega + 0.00007theta^2 + -0.00234theta omega + -0.00316omega^2,-0.000761*omega**2 - 1.9e-5*omega*theta + 0.000192*omega - 0.e-6*theta - 2.3e-5,3.654283e-04,6.428866e-05
57021,2025-03-10 16:50:00,0.010011,0.100912,0.071706,0.080597,6.154708,4.352409,7.0932,1342,0,1.00000omega,0.003851 + 0.00123theta + -0.00011omega + -0.00033theta^2 + -0.00060theta omega + 0.00147omega^2,0.000688*omega**2 - 9.0e-6*omega*theta - 0.000118*omega - 3.0e-6*theta,3.309398e-04,3.935209e-05
57022,2025-03-10 16:55:00,0.012393,0.118960,0.084573,0.068720,2.146134,1.518324,-4.5937,579,1,1.00000omega,0.009141 + -0.36325theta + 0.00638omega + -0.02528theta^2 + -0.00610theta omega + 0.00053omega^2,0.000214*omega**2 - 8.2e-5*omega*theta + 0.000165*omega - 1.1e-5*theta**2 - 0.000417*theta - 0.000211,2.321387e+00,3.037692e-03
57023,2025-03-10 17:00:00,nan,nan,nan,nan,nan,nan,46.9795,72,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57024,2025-03-10 17:05:00,0.013419,0.099723,0.071150,0.091754,5.974005,4.224758,0.9600,2064,0,1.00000omega,0.004591 + -0.19760theta + -0.00962omega + 0.00019theta^2 + 0.00431theta omega + 0.00125omega^2,0.000302*omega**2 + 3.5e-5*omega*theta + 0.000321*omega - 0.000218*theta - 0.004021,5.218805e-04,5.088363e-05
57025,2025-03-10 17:10:00,0.010879,0.065041,0.046630,0.141351,14.767135,10.442420,2.1375,1097,0,1.00000omega,0.002971 + -0.00040theta + 0.00122omega + -0.00142theta^2 + 0.00014theta omega + 0.00006omega^2,1.9e-5*omega**2 + 1.0e-6*omega*theta + 3.0e-5*omega + 7.0e-6*theta - 1.3e-5,6.818661e-04,5.560047e-05
57026,2025-03-10 17:15:00,0.013421,0.047248,0.034731,0.084120,1.641475,1.162222,7.6029,790,0,1.00000omega,0.031101 + -2.16914theta + 0.01792omega + 0.10324theta^2 + -0.00507theta omega + 0.00525omega^2,0.001907*omega**2 - 6.1e-5*omega*theta + 0.000517*omega + 4.2e-5*theta**2 - 0.002301*theta - 0.00298,1.930049e-03,3.683887e-05
