Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
9048,2024-09-15 13:20:00,0.012369,0.057768,0.041774,0.191085,19.127225,13.525665,4.4576,1536,0,1.00000omega,-0.002251 + 0.00130theta + -0.00078omega + -0.00236theta^2 + 0.00030theta omega + -0.00224omega^2,-0.000753*omega**2 + 3.0e-6*omega*theta - 3.0e-6*omega - 0.e-6*theta**2 - 1.1e-5*theta - 4.0e-5
9049,2024-09-15 13:25:00,0.015096,0.074798,0.053957,0.163482,13.374368,9.457813,5.0734,2186,0,1.00000omega,-0.001031 + 0.00008theta + 0.00039omega + 0.00027theta^2 + -0.00126theta omega + 0.00193omega^2,0.000567*omega**2 - 1.2e-5*omega*theta + 0.000147*omega - 2.0e-6*theta + 5.0e-6
9050,2024-09-15 13:30:00,0.013867,0.031832,0.024551,0.525851,33.859407,23.945104,20.2564,1318,5,1.00000omega,-0.023571 + -0.01220theta + 0.00234omega + -0.00721theta^2 + -0.01300theta omega + 0.01357omega^2,0.00699*omega**2 - 0.000223*omega*theta - 0.000356*omega - 4.0e-6*theta**2 - 3.0e-5*theta - 9.3e-5
9051,2024-09-15 13:35:00,0.012354,0.045073,0.033047,nan,nan,nan,6.3154,865,0,1.00000omega,0.008311 + -0.84514theta + -0.06631omega + 0.15756theta^2 + 0.12463theta omega + -0.01064omega^2,-0.003869*omega**2 + 0.001511*omega*theta - 0.012214*omega + 6.4e-5*theta**2 - 0.001782*theta + 0.009036
9052,2024-09-15 13:40:00,0.010942,0.059391,0.042703,0.114121,4.021645,2.844877,7.7434,1306,0,1.00000omega,0.016711 + -0.80335theta + 0.00608omega + -0.00072theta^2 + -0.00328theta omega + 0.00036omega^2,0.000161*omega**2 - 4.9e-5*omega*theta - 9.2e-5*omega - 0.000897*theta - 0.005364
9053,2024-09-15 13:45:00,0.014391,0.058513,0.042608,0.093076,2.635151,1.864495,13.4379,1202,0,1.00000omega,-0.005611 + -0.76552theta + 0.01033omega + -0.03526theta^2 + -0.00744theta omega + -0.00839omega^2,-0.003537*omega**2 - 0.000105*omega*theta + 0.000352*omega - 1.7e-5*theta**2 - 0.000848*theta + 4.9e-5
9054,2024-09-15 13:50:00,0.009676,0.083648,0.059542,0.098079,8.766173,6.199008,5.5150,1281,0,1.00000omega,0.000281 + -0.00010theta + -0.00117omega + -0.00023theta^2 + 0.00017theta omega + 0.00093omega^2,0.000408*omega**2 + 2.0e-6*omega*theta - 2.5e-5*omega - 1.0e-6*theta - 3.0e-6
9055,2024-09-15 13:55:00,0.010248,0.036564,0.026851,0.070162,5.465051,3.864693,4.1209,848,0,1.00000omega,-0.001601 + -0.15189theta + -0.00033omega + 0.00020theta^2 + -0.00610theta omega + 0.00185omega^2,0.000712*omega**2 - 7.8e-5*omega*theta - 0.000518*omega - 0.000168*theta - 0.001094
9056,2024-09-15 14:00:00,0.011853,0.261160,0.184858,0.051342,5.107731,3.611894,19.3283,2155,0,1.00000omega,0.002781 + -0.04908theta + 0.00510omega + 0.00000theta^2 + -0.00024theta omega + -0.00096omega^2,-0.000553*omega**2 - 5.0e-6*omega*theta + 7.5e-5*omega - 5.5e-5*theta - 0.001117
9057,2024-09-15 14:05:00,0.013525,0.029039,0.022652,0.104015,4.456569,3.152129,5.8128,1077,5,1.00000omega,-0.000871 + -0.02040theta + 0.00653omega + -0.00200theta^2 + -0.00124theta omega + -0.00365omega^2,-0.001201*omega**2 - 1.4e-5*omega*theta + 0.000209*omega - 0.e-6*theta**2 - 2.4e-5*theta - 1.8e-5
