Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
106540,2025-08-30 04:45:00,0.053803,6.613561,4.676649,0.008 1 + 1.080 omega + 0.001 theta omega + 0.197 omega^2,0.017 1 + 0.001 theta + 0.167 omega + 0.003 theta omega + 0.405 omega^2,1.7485523237e-02,5.6595412031e-04,1.6701746685e-01,6.8463171484e-07,2.9560611096e-03,4.0515820341e-01
106541,2025-08-30 04:50:00,0.011110,0.794542,0.561881,-0.002 1 + 0.961 omega + 0.001 theta omega + -0.177 omega^2,-0.003 1 + -0.065 omega + 0.002 theta omega + -0.315 omega^2,-2.8468950372e-03,1.8836833588e-04,-6.5180670325e-02,-2.2701220612e-06,1.7324509990e-03,-3.1509892574e-01
106542,2025-08-30 04:55:00,0.004560,0.170456,0.120573,0.989 omega + -0.035 omega^2,-0.020 omega + -0.001 theta omega + -0.070 omega^2,-1.5179379279e-04,3.8658623259e-05,-1.9834477308e-02,3.1426140607e-06,-5.0304708301e-04,-7.0018895540e-02
106543,2025-08-30 05:00:00,0.048671,2.273189,1.607756,0.001 1 + 0.994 omega + 0.001 theta omega + -0.014 omega^2,0.002 1 + -0.011 omega + 0.002 theta omega + -0.015 omega^2,2.4053201157e-03,-3.6270526104e-04,-1.0913844621e-02,2.5361587968e-06,1.6878789185e-03,-1.5272041049e-02
106544,2025-08-30 05:05:00,0.022595,2.731240,1.931344,0.007 1 + 1.063 omega + 0.125 omega^2,0.016 1 + 0.144 omega + 0.287 omega^2,1.6322892857e-02,1.9538326522e-05,1.4381811978e-01,-1.0296138662e-06,4.4925314108e-04,2.8701251988e-01
106545,2025-08-30 05:10:00,0.053429,6.918855,4.892515,0.005 1 + 1.015 omega + 0.001 theta omega + -0.023 omega^2,0.011 1 + 0.001 theta + 0.039 omega + 0.002 theta omega + -0.025 omega^2,1.0709776289e-02,7.0701389607e-04,3.9303477640e-02,7.9603499810e-06,2.1273421670e-03,-2.5375310810e-02
106546,2025-08-30 05:15:00,0.024215,3.800702,2.687557,-0.013 1 + 0.829 omega + 0.001 theta omega + -0.561 omega^2,-0.025 1 + -0.344 omega + 0.002 theta omega + -1.138 omega^2,-2.5279238602e-02,3.7967533846e-04,-3.4416304945e-01,1.1945435264e-06,1.9563946514e-03,-1.1375594085e+00
106547,2025-08-30 05:20:00,0.014986,0.417360,0.295308,1.008 omega + 0.027 omega^2,0.001 1 + 0.018 omega + 0.053 omega^2,9.8563171599e-04,-1.1886152880e-06,1.8144399422e-02,7.1542918873e-07,1.8192497305e-04,5.2946590911e-02
106548,2025-08-30 05:25:00,0.023254,1.164522,0.823605,-0.001 1 + 0.997 omega + -0.013 omega^2,-0.002 1 + -0.004 omega + -0.028 omega^2,-2.0049684432e-03,-2.2873726610e-04,-4.0685489245e-03,-2.2038608575e-06,-4.0991764206e-04,-2.8000837517e-02
106549,2025-08-30 05:30:00,0.088196,4.686241,3.314259,-0.013 1 + -0.001 theta + 0.894 omega + -0.007 theta omega + 0.011 omega^2,-0.025 1 + -0.002 theta + -0.208 omega + -0.015 theta omega + 0.024 omega^2,-2.5189911308e-02,-1.5385477789e-03,-2.0807254267e-01,1.7469577274e-05,-1.4596973567e-02,2.3999924834e-02
