Combo_Index,Model,Sigma,Degree,Tau,LR,Mean_RMSE_Omega,Num_Success,Num_Total
75,integrator,20,2,1.0e-05,1.0e-05,0.058351,3,3
76,integrator,20,3,5.0e-01,1.0e-01,0.003245,3,3
77,integrator,20,3,5.0e-01,1.0e-03,0.000342,2,3
78,integrator,20,3,5.0e-01,1.0e-05,0.046864,3,3
79,integrator,20,3,1.0e-01,1.0e-01,0.000820,1,3
80,integrator,20,3,1.0e-01,1.0e-03,0.000303,1,3
81,integrator,20,3,1.0e-01,1.0e-05,0.054496,3,3
82,integrator,20,3,1.0e-02,1.0e-01,0.005147,2,3
83,integrator,20,3,1.0e-02,1.0e-03,0.000355,2,3
84,integrator,20,3,1.0e-02,1.0e-05,0.061350,3,3
85,integrator,20,3,1.0e-03,1.0e-01,0.001279,1,3
86,integrator,20,3,1.0e-03,1.0e-03,0.000206,1,3
87,integrator,20,3,1.0e-03,1.0e-05,0.044683,3,3
88,integrator,20,3,1.0e-05,1.0e-01,0.001315,1,3
89,integrator,20,3,1.0e-05,1.0e-03,0.000533,1,3
90,integrator,20,3,1.0e-05,1.0e-05,0.056659,3,3
91,integrator,60,2,5.0e-01,1.0e-01,0.000424,1,3
92,integrator,60,2,5.0e-01,1.0e-03,0.000441,1,3
93,integrator,60,2,5.0e-01,1.0e-05,0.044766,3,3
94,integrator,60,2,1.0e-01,1.0e-01,0.000893,3,3
95,integrator,60,2,1.0e-01,1.0e-03,0.000154,1,3
96,integrator,60,2,1.0e-01,1.0e-05,0.037950,3,3
97,integrator,60,2,1.0e-02,1.0e-01,0.001260,1,3
98,integrator,60,2,1.0e-02,1.0e-03,0.000250,2,3
99,integrator,60,2,1.0e-02,1.0e-05,0.037340,3,3
100,integrator,60,2,1.0e-03,1.0e-01,0.000395,2,3
101,integrator,60,2,1.0e-03,1.0e-03,nan,0,3
102,integrator,60,2,1.0e-03,1.0e-05,0.031856,2,3
103,integrator,60,2,1.0e-05,1.0e-01,0.002737,1,3
104,integrator,60,2,1.0e-05,1.0e-03,0.000341,1,3
105,integrator,60,2,1.0e-05,1.0e-05,0.037830,3,3
106,integrator,60,3,5.0e-01,1.0e-01,0.001169,1,3
107,integrator,60,3,5.0e-01,1.0e-03,0.000238,2,3
108,integrator,60,3,5.0e-01,1.0e-05,0.046484,3,3
109,integrator,60,3,1.0e-01,1.0e-01,0.000714,2,3
110,integrator,60,3,1.0e-01,1.0e-03,nan,0,3
111,integrator,60,3,1.0e-01,1.0e-05,0.049557,2,3
112,integrator,60,3,1.0e-02,1.0e-01,0.004381,2,3
113,integrator,60,3,1.0e-02,1.0e-03,0.000176,1,3
114,integrator,60,3,1.0e-02,1.0e-05,0.058726,3,3
115,integrator,60,3,1.0e-03,1.0e-01,0.001242,1,3
116,integrator,60,3,1.0e-03,1.0e-03,0.000257,1,3
117,integrator,60,3,1.0e-03,1.0e-05,0.034804,3,3
118,integrator,60,3,1.0e-05,1.0e-01,0.002198,3,3
119,integrator,60,3,1.0e-05,1.0e-03,0.000519,1,3
120,integrator,60,3,1.0e-05,1.0e-05,0.050455,3,3
