Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
15028,2024-10-08 01:50:00,0.035661,2.091391,1.479052,0.001 1 + 1.065 omega + -0.001 theta omega + 0.430 omega^2,0.001 1 + -0.001 theta + 0.135 omega + -0.002 theta omega + 0.876 omega^2,1.3176149234e-03,-8.0234477663e-04,1.3462103435e-01,-2.6403703767e-05,-2.2664552589e-03,8.7570834886e-01
15029,2024-10-08 01:55:00,nan,nan,nan,-0.024 1 + -0.001 theta + 0.861 omega + -0.003 theta omega + -0.166 omega^2,-0.047 1 + -0.002 theta + -0.276 omega + -0.007 theta omega + -0.333 omega^2,-4.6722636689e-02,-2.0700471579e-03,-2.7601372499e-01,-2.0524182220e-05,-6.8272670295e-03,-3.3299101296e-01
15030,2024-10-08 02:00:00,0.009813,0.223911,0.158481,0.001 1 + 1.003 omega + -0.016 omega^2,0.012 omega + -0.035 omega^2,3.8553749217e-04,-1.0744205333e-04,1.2461917819e-02,7.2204783524e-07,1.2173370322e-04,-3.5403273847e-02
15031,2024-10-08 02:05:00,0.018332,0.511651,0.362024,-0.001 1 + 1.002 omega + 0.019 omega^2,-0.002 1 + 0.004 omega + -0.001 theta omega + 0.036 omega^2,-2.0516334275e-03,-3.7614962587e-04,4.4853277306e-03,2.8644520087e-05,-5.8101058589e-04,3.6482136579e-02
15032,2024-10-08 02:10:00,0.024077,0.568712,0.402500,1.001 omega + -0.001 theta omega + 0.014 omega^2,0.003 omega + -0.002 theta omega + 0.024 omega^2,-2.2592997025e-04,-3.6407627935e-04,3.0657251069e-03,-4.4791997938e-06,-1.8097622112e-03,2.3855295562e-02
15033,2024-10-08 02:15:00,nan,nan,nan,0.001 1 + 0.998 omega + -0.001 theta omega + -0.020 omega^2,0.002 1 + -0.003 omega + -0.002 theta omega + -0.048 omega^2,2.4775041128e-03,9.5212531699e-05,-2.9248653518e-03,1.3215901759e-05,-2.1490794362e-03,-4.8138874248e-02
15034,2024-10-08 02:20:00,0.026767,0.852183,0.602882,-0.003 1 + 1.025 omega + -0.001 theta omega + -0.059 omega^2,-0.007 1 + 0.056 omega + -0.002 theta omega + -0.126 omega^2,-6.7562830062e-03,4.4452478371e-04,5.5649328633e-02,-8.6209975569e-06,-1.6015420205e-03,-1.2580328215e-01
15035,2024-10-08 02:25:00,0.012851,0.537287,0.380028,0.001 1 + 1.004 omega + 0.010 omega^2,0.002 1 + 0.009 omega + 0.021 omega^2,1.9175036335e-03,-3.0503075758e-04,8.6217407554e-03,4.5662312156e-06,-1.2245911799e-04,2.1353313191e-02
15036,2024-10-08 02:30:00,nan,nan,nan,-0.007 1 + 1.037 omega + -0.001 theta omega + -0.019 omega^2,-0.013 1 + 0.072 omega + -0.002 theta omega + -0.030 omega^2,-1.3434679384e-02,4.3610060144e-04,7.1905712642e-02,-1.7062490140e-06,-1.8250230231e-03,-3.0389922822e-02
15037,2024-10-08 02:35:00,0.008832,0.651779,0.460919,-0.026 1 + 1.275 omega + -0.003 theta omega + -0.700 omega^2,-0.054 1 + 0.001 theta + 0.560 omega + -0.006 theta omega + -1.420 omega^2,-5.3556931094e-02,9.5221527499e-04,5.5953214679e-01,-7.3180426756e-07,-5.9215094917e-03,-1.4198429969e+00
