Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
73237,2025-05-06 07:45:00,nan,nan,nan,1901.1398,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73238,2025-05-06 07:50:00,0.029604,0.463988,0.328756,-42121.1719,1067,0,1.00000omega,-0.021161 + -0.18048theta + -0.00921omega + -0.00639theta^2 + 0.00621theta omega + -0.00280omega^2
73239,2025-05-06 07:55:00,nan,nan,nan,82.2166,34,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73240,2025-05-06 08:00:00,0.009818,0.493253,0.348852,3.1944,2494,0,1.00000omega,-0.016641 + -0.25864theta + -0.03890omega + 0.00252theta^2 + 0.05850theta omega + -0.00559omega^2
73241,2025-05-06 08:05:00,0.005821,0.064262,0.045626,-1.7586,1748,0,1.00000omega,0.006151 + 0.00092theta + 0.00276omega + 0.00014theta^2 + 0.00130theta omega + -0.00235omega^2
73242,2025-05-06 08:10:00,0.007114,0.291285,0.206031,0.1365,1354,0,1.00000omega,-0.005071 + 0.00315theta + 0.00931omega + -0.00027theta^2 + 0.00228theta omega + -0.00104omega^2
73243,2025-05-06 08:15:00,0.005733,0.037723,0.026980,-1.8873,1077,0,1.00000omega,0.042551 + -4.55726theta + 0.00526omega + -0.71512theta^2 + 1.62609theta omega + 0.47447omega^2
73244,2025-05-06 08:20:00,0.005478,0.084365,0.059781,-1.8427,2347,1,1.00000omega,-0.001321 + 0.00163theta + -0.00987omega + 0.00014theta^2 + -0.00288theta omega + -0.00182omega^2
73245,2025-05-06 08:25:00,0.005804,0.061782,0.043879,-1.4811,1516,0,1.00000omega,0.014811 + -1.05956theta + -0.00213omega + 0.01220theta^2 + -0.01069theta omega + 0.00779omega^2
73246,2025-05-06 08:30:00,0.016686,0.264436,0.187356,-250.3865,1954,0,1.00000omega,0.001451 + -0.51956theta + -0.02220omega + -0.42491theta^2 + -0.00645theta omega + 0.05789omega^2
73247,2025-05-06 08:35:00,nan,nan,nan,111.2470,75,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73248,2025-05-06 08:40:00,nan,nan,nan,4.2810,308,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73249,2025-05-06 08:45:00,0.006232,0.143370,0.101474,-2.3386,1719,0,1.00000omega,0.000171 + -0.37349theta + 0.00229omega + 0.00318theta^2 + 0.00965theta omega + -0.00044omega^2
73250,2025-05-06 08:50:00,0.030732,0.481967,0.341494,27.3751,73,5,1.00000omega,-0.001511 + -0.00093theta + -0.00022omega + 0.00073theta^2 + -0.00032theta omega + 0.00133omega^2
73251,2025-05-06 08:55:00,0.004809,0.092421,0.065440,-894.7111,2122,0,1.00000omega,-0.003941 + -0.39459theta + 0.00201omega + -0.00193theta^2 + -0.03478theta omega + -0.43467omega^2
73252,2025-05-06 09:00:00,0.005912,0.112993,0.080007,-2.2180,1130,0,1.00000omega,0.008271 + -0.78055theta + -0.26476omega + -0.01877theta^2 + -0.03555theta omega + 0.03935omega^2
73253,2025-05-06 09:05:00,0.042061,0.554171,0.392985,-75478.0938,900,0,1.00000omega,-0.001281 + -0.31515theta + -0.01352omega + 0.00289theta^2 + -0.00374theta omega + 0.01635omega^2
73254,2025-05-06 09:10:00,0.018849,0.141665,0.101055,0.4984,904,0,1.00000omega,-0.001671 + -0.12809theta + -0.00340omega + -0.03723theta^2 + 0.01066theta omega + -0.00572omega^2
73255,2025-05-06 09:15:00,0.005823,0.066537,0.047229,-1.6692,1094,0,1.00000omega,1.501171 + -3.38209theta + 0.00129omega + -2.37906theta^2 + 0.00288theta omega + -0.48483omega^2
73256,2025-05-06 09:20:00,nan,nan,nan,139.7655,27,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73257,2025-05-06 09:25:00,0.040173,0.305906,0.218165,35.7146,77,5,1.00000omega,0.001071 + -0.01795theta + -0.00098omega + 0.00031theta^2 + -0.00049theta omega + 0.00153omega^2
73258,2025-05-06 09:30:00,0.006091,0.147399,0.104316,-3.5004,1432,0,1.00000omega,0.005001 + -1.05988theta + -0.00617omega + -0.05403theta^2 + 0.01195theta omega + 0.02688omega^2
73259,2025-05-06 09:35:00,0.027553,0.205635,0.146705,-41.7356,1061,0,1.00000omega,0.006791 + -0.21435theta + 0.00160omega + -0.00310theta^2 + -0.00372theta omega + 0.00273omega^2
