Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
60133,2025-03-21 13:20:00,0.099961,3.318832,2.347833,-0.002 theta + 1.031 omega + 0.003 theta omega + -0.184 omega^2 + -0.012 theta omega^2 + -0.546 omega^3,-0.001 1 + -0.005 theta + 0.068 omega + -0.001 theta^2 + 0.006 theta omega + -0.350 omega^2 + -0.024 theta omega^2 + -1.070 omega^3,-6.4510141711e-04,-4.8879663800e-03,6.8160630849e-02,-9.3615301441e-04,6.2829793608e-03,-3.4985700838e-01,-4.1677000635e-05,5.5492780517e-05,-2.3512378256e-02,-1.0699317784e+00
60134,2025-03-21 13:25:00,nan,nan,nan,-0.001 theta + 1.013 omega + -0.009 theta omega + 0.068 omega^2 + -0.001 theta^2 omega + -0.057 theta omega^2 + 1.170 omega^3,-0.002 theta + 0.028 omega + -0.017 theta omega + 0.130 omega^2 + -0.001 theta^2 omega + -0.117 theta omega^2 + 2.418 omega^3,-8.1576020634e-05,-1.5573040589e-03,2.8169831461e-02,-8.9462233928e-05,-1.6788540697e-02,1.2985276907e-01,4.1781461471e-06,-9.6113188223e-04,-1.1685656569e-01,2.4181840567e+00
60135,2025-03-21 13:30:00,0.055582,4.315254,3.051598,0.001 1 + -0.001 theta + 1.019 omega + -0.006 theta omega + 0.032 omega^2 + -0.001 theta^2 omega + 0.073 theta omega^2 + -1.726 omega^3,0.001 1 + -0.002 theta + 0.042 omega + 0.001 theta^2 + -0.012 theta omega + 0.022 omega^2 + -0.001 theta^2 omega + 0.153 theta omega^2 + -3.446 omega^3,1.1695548537e-03,-2.2752267391e-03,4.2257246402e-02,5.7566848890e-04,-1.1874236319e-02,2.1735892399e-02,-2.9528371315e-05,-1.1730839634e-03,1.5320585023e-01,-3.4457467070e+00
60136,2025-03-21 13:35:00,0.033299,0.677714,0.479794,0.250 1 + -0.037 theta + -0.511 omega + 0.002 theta^2 + 0.186 theta omega + 1.738 omega^2 + -0.006 theta^2 omega + -0.101 theta omega^2 + -2.276 omega^3,0.512 1 + -0.076 theta + -3.079 omega + 0.004 theta^2 + 0.381 theta omega + 3.506 omega^2 + -0.012 theta^2 omega + -0.203 theta omega^2 + -4.691 omega^3,5.1192043135e-01,-7.6178055301e-02,-3.0790778694e+00,3.6864785328e-03,3.8118507846e-01,3.5055329740e+00,-5.8320969982e-05,-1.1658318162e-02,-2.0282345412e-01,-4.6908118267e+00
60137,2025-03-21 13:40:00,0.099296,3.743296,2.647841,-0.002 1 + -0.004 theta + 1.008 omega + -0.001 theta^2 + -0.002 theta omega + -0.423 omega^2 + -0.090 theta omega^2 + -1.377 omega^3,-0.004 1 + -0.007 theta + 0.019 omega + -0.002 theta^2 + -0.004 theta omega + -0.859 omega^2 + -0.001 theta^2 omega + -0.180 theta omega^2 + -2.944 omega^3,-4.1509838736e-03,-6.9329213857e-03,1.8705477257e-02,-2.0815771452e-03,-3.8219020170e-03,-8.5868301869e-01,-1.7338852603e-04,-6.6126183609e-04,-1.7959194076e-01,-2.9437271395e+00
60138,2025-03-21 13:45:00,0.039364,1.249141,0.883715,0.001 theta + 0.961 omega + 0.011 theta omega + 0.444 omega^2 + -0.001 theta^2 omega + -0.030 theta omega^2 + -2.215 omega^3,0.001 theta + -0.082 omega + 0.024 theta omega + 1.024 omega^2 + -0.001 theta^2 omega + -0.078 theta omega^2 + -4.706 omega^3,3.1324845195e-04,7.4176908402e-04,-8.2188048980e-02,-2.0998784134e-04,2.4413990622e-02,1.0243728177e+00,9.0977442777e-06,-1.3892076852e-03,-7.7983257117e-02,-4.7056704250e+00
60139,2025-03-21 13:50:00,nan,nan,nan,-0.001 1 + 0.001 theta + 0.999 omega + -0.010 theta omega + 0.264 omega^2 + 0.003 theta^2 omega + -0.009 theta omega^2 + -1.215 omega^3,-0.001 1 + 0.002 theta + -0.001 theta^2 + -0.019 theta omega + 0.532 omega^2 + 0.005 theta^2 omega + -0.020 theta omega^2 + -2.475 omega^3,-1.1047852979e-03,2.3006417253e-03,4.2164343945e-04,-5.8271640893e-04,-1.8941652820e-02,5.3240315453e-01,-1.2157428837e-05,5.2556384849e-03,-2.0400359249e-02,-2.4751270755e+00
60140,2025-03-21 13:55:00,0.088045,7.258990,5.133259,0.001 1 + -0.001 theta + 1.023 omega + -0.001 theta omega + 0.010 omega^2 + -0.001 theta^2 omega + 0.035 theta omega^2 + -1.199 omega^3,0.001 1 + -0.002 theta + 0.045 omega + -0.002 theta omega + 0.014 omega^2 + -0.002 theta^2 omega + 0.065 theta omega^2 + -2.395 omega^3,1.1343864302e-03,-1.9831160686e-03,4.5006679362e-02,-4.0337302430e-04,-2.1646926244e-03,1.4331548873e-02,-8.1894987108e-06,-1.5938826873e-03,6.4656848681e-02,-2.3948465036e+00
60141,2025-03-21 14:00:00,nan,nan,nan,0.024 1 + 0.003 theta + 1.039 omega + 0.003 theta omega + 0.236 omega^2 + -0.033 theta omega^2 + 3.330 omega^3,0.045 1 + 0.005 theta + 0.059 omega + 0.005 theta omega + 0.416 omega^2 + -0.072 theta omega^2 + 6.646 omega^3,4.5211138480e-02,4.9209449101e-03,5.8869504816e-02,1.5210923174e-04,5.1016055867e-03,4.1612301520e-01,9.8969341257e-07,4.2542611792e-04,-7.1805594994e-02,6.6462677815e+00
60142,2025-03-21 14:05:00,1.527295,23.672897,16.774068,-0.010 1 + -0.007 theta + 1.020 omega + -0.001 theta^2 + 0.344 omega^2 + -0.001 theta^2 omega + 0.150 theta omega^2 + -2.259 omega^3,-0.020 1 + -0.013 theta + 0.043 omega + -0.002 theta^2 + 0.003 theta omega + 0.739 omega^2 + -0.002 theta^2 omega + 0.303 theta omega^2 + -4.141 omega^3,-1.9929647630e-02,-1.2698056104e-02,4.2987114613e-02,-2.2594512176e-03,2.5232477859e-03,7.3898811572e-01,-1.2250900436e-04,-1.6816173216e-03,3.0321529320e-01,-4.1410737662e+00
60143,2025-03-21 14:10:00,nan,nan,nan,0.001 1 + -0.004 theta + 1.005 omega + -0.002 theta^2 + 0.037 theta omega + -0.100 omega^2 + 0.007 theta^2 omega + -0.052 theta omega^2 + 2.992 omega^3,0.002 1 + -0.007 theta + 0.013 omega + -0.004 theta^2 + 0.075 theta omega + -0.202 omega^2 + -0.001 theta^3 + 0.014 theta^2 omega + -0.109 theta omega^2 + 5.946 omega^3,1.7134499388e-03,-6.9826737287e-03,1.3346098621e-02,-4.2665349599e-03,7.5155619056e-02,-2.0207055232e-01,-5.4065714907e-04,1.3582372522e-02,-1.0863159271e-01,5.9457534545e+00
60144,2025-03-21 14:15:00,0.114382,4.995383,3.533195,-0.002 1 + -0.001 theta + 1.005 omega + -0.002 theta omega + 0.240 omega^2 + -0.001 theta omega^2 + -1.052 omega^3,-0.004 1 + -0.002 theta + 0.013 omega + -0.004 theta omega + 0.483 omega^2 + -0.001 theta^2 omega + -2.206 omega^3,-3.9478269459e-03,-1.5539037259e-03,1.2596471879e-02,4.6689724584e-04,-3.7012978392e-03,4.8252856723e-01,-1.5997527609e-05,-7.7977659689e-04,-1.5573141487e-04,-2.2059672722e+00
60145,2025-03-21 14:20:00,0.051401,5.309338,3.754445,0.008 1 + -0.001 theta + 0.837 omega + 0.012 theta omega + 0.609 omega^2 + -0.037 theta omega^2 + 0.438 omega^3,0.010 1 + -0.001 theta + -0.241 omega + 0.018 theta omega + 0.769 omega^2 + -0.059 theta omega^2 + 1.671 omega^3,1.0140378182e-02,-8.8701608255e-04,-2.4107053268e-01,4.5507330869e-05,1.8297574288e-02,7.6872206687e-01,-1.0693780050e-06,-3.2768927830e-04,-5.8887844740e-02,1.6705577997e+00
60146,2025-03-21 14:25:00,0.044348,2.859452,2.022181,0.002 1 + 0.964 omega + -0.013 theta omega + -0.174 omega^2 + -0.001 theta^2 omega + -0.090 theta omega^2 + 1.271 omega^3,0.004 1 + 0.001 theta + -0.073 omega + -0.001 theta^2 + -0.024 theta omega + -0.318 omega^2 + -0.002 theta^2 omega + -0.175 theta omega^2 + 2.947 omega^3,3.8585063343e-03,9.5256777257e-04,-7.3419648651e-02,-5.9667316435e-04,-2.4105483668e-02,-3.1838318752e-01,-9.9166255255e-05,-2.3778021926e-03,-1.7536197662e-01,2.9471557811e+00
60147,2025-03-21 14:30:00,0.046596,1.895680,1.340853,-0.001 1 + -0.005 theta + 0.999 omega + -0.003 theta^2 + -0.008 theta omega + -0.762 omega^2 + -0.001 theta^2 omega + -0.289 theta omega^2 + -2.546 omega^3,-0.001 1 + -0.010 theta + 0.003 omega + -0.006 theta^2 + -0.015 theta omega + -1.380 omega^2 + -0.001 theta^3 + -0.003 theta^2 omega + -0.552 theta omega^2 + -5.641 omega^3,-1.3517341516e-03,-1.0027912515e-02,2.6761739898e-03,-5.5170223503e-03,-1.5238241277e-02,-1.3798779478e+00,-6.7891577825e-04,-2.5345534185e-03,-5.5234763290e-01,-5.6409683721e+00
60148,2025-03-21 14:35:00,nan,nan,nan,0.001 1 + 1.008 omega + 0.002 theta omega + -0.392 omega^2 + -0.078 theta omega^2 + 5.230 omega^3,0.001 1 + -0.001 theta + 0.021 omega + 0.003 theta omega + -0.736 omega^2 + 0.001 theta^2 omega + -0.149 theta omega^2 + 9.793 omega^3,1.3957638878e-03,-6.6340469230e-04,2.0992279418e-02,5.2260369926e-05,3.2472907921e-03,-7.3563877406e-01,-3.2221021740e-06,9.0815582346e-04,-1.4850838995e-01,9.7934115523e+00
60149,2025-03-21 14:40:00,0.066008,5.177266,3.661177,-0.001 1 + 0.998 omega + 0.001 theta omega + 0.178 omega^2 + -0.046 theta omega^2 + -0.067 omega^3,-0.002 1 + -0.001 theta + -0.006 omega + 0.001 theta omega + 0.336 omega^2 + -0.085 theta omega^2 + 0.154 omega^3,-2.1449237393e-03,-5.2868204341e-04,-5.7179101060e-03,4.2737809173e-04,5.2377624688e-04,3.3573967529e-01,-3.9311892004e-05,-7.4517350272e-05,-8.5488341889e-02,1.5395170935e-01
60150,2025-03-21 14:45:00,2.423462,113.403982,80.207033,0.001 1 + 1.028 omega + 0.013 theta omega + -0.278 omega^2 + 0.001 theta^2 omega + -0.015 theta omega^2 + -0.215 omega^3,0.002 1 + 0.066 omega + 0.025 theta omega + -0.517 omega^2 + 0.001 theta^2 omega + -0.027 theta omega^2 + -0.447 omega^3,1.9999180279e-03,-9.1223524501e-05,6.5838953019e-02,-1.4287231996e-04,2.5446007445e-02,-5.1727971756e-01,-7.3021741696e-06,1.1590724504e-03,-2.7299103298e-02,-4.4666730354e-01
60151,2025-03-21 14:50:00,0.059800,1.766448,1.249783,-0.002 1 + -0.001 theta + 1.057 omega + 0.019 theta omega + 0.256 omega^2 + -0.003 theta^2 omega + 0.073 theta omega^2 + -6.384 omega^3,-0.004 1 + -0.001 theta + 0.114 omega + 0.035 theta omega + 0.517 omega^2 + -0.006 theta^2 omega + 0.126 theta omega^2 + -12.715 omega^3,-3.8877371298e-03,-8.1825308630e-04,1.1421833712e-01,-1.2668499318e-04,3.4712036392e-02,5.1663181360e-01,-4.2420922164e-04,-6.2209173447e-03,1.2550656533e-01,-1.2714934131e+01
60152,2025-03-21 14:55:00,0.054165,2.882273,2.038435,0.001 1 + -0.001 theta + 1.005 omega + -0.016 theta omega + 0.116 omega^2 + 0.002 theta^2 omega + -0.034 theta omega^2 + 1.583 omega^3,0.002 1 + -0.001 theta + 0.010 omega + 0.001 theta^2 + -0.030 theta omega + 0.246 omega^2 + 0.003 theta^2 omega + -0.066 theta omega^2 + 3.185 omega^3,1.8442849440e-03,-1.4715843191e-03,9.6885824930e-03,5.1759585047e-04,-3.0191675271e-02,2.4573178376e-01,-4.1675135870e-05,3.1811579367e-03,-6.5982983604e-02,3.1853132834e+00
60153,2025-03-21 15:00:00,0.589922,91.860175,64.956292,0.022 1 + 0.001 theta + 1.025 omega + 0.005 theta omega + -0.441 omega^2 + -0.005 theta omega^2 + -0.614 omega^3,0.041 1 + 0.002 theta + 0.014 omega + 0.008 theta omega + -1.011 omega^2 + -0.012 theta omega^2 + -1.340 omega^3,4.0978541464e-02,2.0647558279e-03,1.3887002619e-02,1.1591713154e-05,8.0969810401e-03,-1.0109584444e+00,-3.3290018367e-07,1.5440438488e-04,-1.1801725179e-02,-1.3402476650e+00
60154,2025-03-21 15:05:00,0.071303,2.334937,1.651819,1.012 omega + -0.004 theta omega + 0.101 omega^2 + -0.038 theta omega^2 + -0.661 omega^3,0.024 omega + -0.008 theta omega + 0.198 omega^2 + 0.001 theta^2 omega + -0.070 theta omega^2 + -1.197 omega^3,-3.3264109993e-04,2.2308741094e-04,2.3700621884e-02,5.5264646188e-05,-7.9392776976e-03,1.9794745649e-01,-2.0500658925e-05,7.5741036574e-04,-6.9821692296e-02,-1.1972989311e+00
