Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
69529,2025-04-23 08:35:00,0.042471,2.188327,1.547672,0.001 1 + 0.996 omega + 0.003 omega^2,0.001 1 + 0.001 theta + -0.007 omega + -0.001 theta omega + 0.004 omega^2,1.0561699253e-03,8.0282382927e-04,-7.4474720749e-03,1.0838676727e-04,-6.0494718839e-04,3.5717856138e-03
69530,2025-04-23 08:40:00,nan,nan,nan,-0.001 1 + 0.994 omega + -0.003 theta omega + 0.141 omega^2,-0.002 1 + -0.013 omega + -0.007 theta omega + 0.290 omega^2,-2.3524460870e-03,-3.2175524460e-04,-1.2888033329e-02,9.8426176974e-05,-6.5352186439e-03,2.9045998614e-01
69531,2025-04-23 08:45:00,0.039907,1.329817,0.940746,-0.002 1 + 0.981 omega + -0.080 omega^2,-0.004 1 + -0.036 omega + -0.001 theta omega + -0.157 omega^2,-3.5571995193e-03,-3.9464238933e-04,-3.5513644394e-02,-9.7469615860e-06,-5.5496879190e-04,-1.5670703646e-01
69532,2025-04-23 08:50:00,0.042416,2.755358,1.948563,-0.001 1 + 0.993 omega + -0.035 omega^2,-0.002 1 + -0.011 omega + -0.001 theta omega + -0.064 omega^2,-2.4901260548e-03,-3.3476532253e-04,-1.1385543504e-02,-4.8721312610e-06,-7.3568399396e-04,-6.4449265927e-02
69533,2025-04-23 08:55:00,0.125657,5.594201,3.956695,-0.001 theta + 1.007 omega + -0.002 theta omega + -0.023 omega^2,-0.001 theta + 0.016 omega + -0.004 theta omega + -0.033 omega^2,3.3224506043e-06,-1.0152751541e-03,1.5887924225e-02,3.4709568626e-05,-3.7424885585e-03,-3.2666623648e-02
69534,2025-04-23 09:00:00,nan,nan,nan,-0.003 1 + -0.001 theta + 0.976 omega + -0.006 theta omega + -0.032 omega^2,-0.005 1 + -0.002 theta + -0.046 omega + -0.012 theta omega + -0.058 omega^2,-5.3926798847e-03,-1.6154390270e-03,-4.5746632250e-02,-1.9661199326e-05,-1.1660976000e-02,-5.7639586807e-02
69535,2025-04-23 09:05:00,0.036630,1.319587,0.933448,0.001 1 + 0.989 omega + 0.105 omega^2,0.001 1 + -0.021 omega + -0.001 theta omega + 0.224 omega^2,1.0718430465e-03,4.1208960198e-05,-2.1059467049e-02,-3.9300307276e-06,-8.7945724471e-04,2.2427642876e-01
69536,2025-04-23 09:10:00,0.096405,5.912917,4.181619,-0.002 1 + 0.001 theta + 1.007 omega + -0.002 theta omega + 0.180 omega^2,-0.005 1 + 0.001 theta + 0.020 omega + -0.005 theta omega + 0.354 omega^2,-5.0989289210e-03,1.2423615696e-03,1.9991383896e-02,-7.2178350389e-05,-4.5039667883e-03,3.5354730603e-01
69537,2025-04-23 09:15:00,0.034345,1.262713,0.893203,0.999 omega + 0.002 theta omega + -0.189 omega^2,-0.001 omega + 0.003 theta omega + -0.419 omega^2,-1.0219939274e-04,1.9958794418e-04,-8.0277851675e-04,9.3889119610e-05,3.4739409931e-03,-4.1873054209e-01
69538,2025-04-23 09:20:00,nan,nan,nan,-0.001 theta + 1.013 omega + 0.006 theta omega + -0.052 omega^2,-0.001 1 + -0.001 theta + 0.027 omega + 0.011 theta omega + -0.104 omega^2,-8.3605246574e-04,-1.0661229640e-03,2.6693307721e-02,-7.4367549779e-05,1.0874532585e-02,-1.0433959935e-01
69539,2025-04-23 09:25:00,nan,nan,nan,-0.012 1 + 0.001 theta + 1.100 omega + -0.004 theta omega + -0.182 omega^2,-0.025 1 + 0.002 theta + 0.203 omega + -0.007 theta omega + -0.367 omega^2,-2.5203070774e-02,1.9621727710e-03,2.0331016722e-01,-2.3917274256e-05,-7.2718128751e-03,-3.6682791252e-01
69540,2025-04-23 09:30:00,nan,nan,nan,0.001 1 + -0.001 theta + 1.000 omega + 0.002 theta omega + -0.023 omega^2,0.002 1 + -0.002 theta + 0.001 omega + 0.005 theta omega + -0.057 omega^2,2.3267203299e-03,-1.6946458254e-03,1.0681774643e-03,2.0368317144e-04,4.8510322096e-03,-5.6730034957e-02
69541,2025-04-23 09:35:00,0.098549,3.806355,2.692401,0.001 1 + 0.990 omega + 0.001 theta omega + 0.010 omega^2,0.002 1 + -0.018 omega + 0.001 theta omega + 0.016 omega^2,2.1167364601e-03,-1.6022132190e-04,-1.7949706360e-02,-4.7245775110e-06,1.4722647363e-03,1.6207594553e-02
69542,2025-04-23 09:40:00,0.076011,2.014629,1.425571,-0.001 1 + 0.001 theta + 1.010 omega + -0.002 theta omega + -0.131 omega^2,-0.001 1 + 0.002 theta + 0.019 omega + -0.003 theta omega + -0.254 omega^2,-1.1985063547e-03,1.8160600201e-03,1.8758441469e-02,-1.9782070817e-04,-2.7627117181e-03,-2.5373120789e-01
69543,2025-04-23 09:45:00,0.027365,1.995616,1.411246,-0.001 1 + 1.004 omega + 0.002 theta omega + -0.012 omega^2,-0.001 1 + 0.013 omega + 0.003 theta omega + 0.008 omega^2,-9.3319242176e-04,-3.6954964400e-04,1.2521839247e-02,-3.3148369731e-05,3.4256549969e-03,8.4352537232e-03
69544,2025-04-23 09:50:00,0.021119,0.636793,0.450528,0.001 1 + 0.988 omega + 0.004 theta omega + -0.150 omega^2,0.002 1 + 0.001 theta + -0.024 omega + 0.009 theta omega + -0.278 omega^2,2.1394797190e-03,8.2861686681e-04,-2.3733305979e-02,-4.9125949953e-04,8.9879540811e-03,-2.7788118527e-01
69545,2025-04-23 09:55:00,nan,nan,nan,-0.002 1 + 1.017 omega + -0.002 theta omega + 0.018 omega^2,-0.005 1 + 0.001 theta + 0.041 omega + -0.003 theta omega + 0.014 omega^2,-5.1591453078e-03,6.8666093000e-04,4.0736072377e-02,-2.0704670133e-05,-3.4665539617e-03,1.3582899765e-02
69546,2025-04-23 10:00:00,0.020129,0.827326,0.585181,1.008 omega + -0.001 theta omega + -0.017 omega^2,-0.001 1 + 0.017 omega + -0.002 theta omega + -0.025 omega^2,-6.2823119530e-04,3.2868164832e-04,1.7073235071e-02,-3.0249926399e-05,-1.7768934418e-03,-2.5111684482e-02
69547,2025-04-23 10:05:00,0.053697,2.349674,1.661904,0.001 1 + 1.008 omega + 0.001 theta omega + 0.043 omega^2,0.002 1 + 0.001 theta + 0.015 omega + 0.002 theta omega + 0.081 omega^2,1.7039816411e-03,5.2460974586e-04,1.4674021938e-02,4.2936141155e-05,1.9059212973e-03,8.1451546188e-02
69548,2025-04-23 10:10:00,0.065014,3.109266,2.199064,0.985 omega + 0.002 theta omega + 0.080 omega^2,-0.001 1 + -0.028 omega + 0.003 theta omega + 0.162 omega^2,-1.0338088474e-03,4.0278270329e-04,-2.8281035071e-02,-4.2095016797e-05,3.4318696725e-03,1.6165902517e-01
69549,2025-04-23 10:15:00,0.034494,2.015955,1.425704,-0.001 1 + 1.001 omega + 0.001 theta omega + -0.007 omega^2,-0.002 1 + 0.002 omega + 0.001 theta omega + -0.014 omega^2,-1.6381852530e-03,-3.9125337015e-04,2.3711842636e-03,-2.0551689657e-05,9.7186473200e-04,-1.4125361957e-02
