chunk_id,t_start,n_points,equation,loss,complexity,sim_ok,rmse_omega,rmse_omega_std,rmse_theta,rmse_theta_std,const,omega_coef,theta_coef,omega_theta_coef,omega2_coef,theta2_coef,omega3_coef,theta2_omega_coef,theta_omega2_coef,theta3_coef,is_boundary,c_omega,c_theta,intercept,intercept_abs,c_omega_rel_error,c_theta_rel_error,intercept_rel_error
294,294,3600,(x1 * -0.009090466568464654) - ((0.004684625360864664 - (x0 * -1.293184936906595e-5)) * 1.1897950524141285),6.88769704269701e-13,11,True,0.0002086562765574,0.0002086557111437,0.1327675063644493,0.1327661671909139,-0.0055737440767705,-0.0090904665684646,-1.5386250397879438e-05,,,,,,,,True,-0.0090904665684646,-1.5386250397879438e-05,-0.0055737440767705,0.0055737440767705,0.003623357547129723,0.004480125578049076,0.004476421129198713
300,300,3600,((x0 * -1.5386250471336646e-5) - (x1 * 0.009090466648755796)) - -0.0055737441104977015,6.887697042625965e-13,9,True,0.000208657110761,0.0002086565456334,0.1327676271474263,0.1327662875547891,0.0055737441104977,-0.0090904666487557,-1.5386250471336646e-05,,,,,,,,True,-0.0090904666487557,-1.5386250471336646e-05,0.0055737441104977,0.0055737441104977,0.0036233664115838094,0.004480130373649265,0.0044764272073710394
306,306,3600,(x1 * -0.009090466617762452) + (((x0 * -4.6973340967503003e-5) - 0.017016321345326255) * 0.3275528234382034),6.887697042188223e-13,11,True,0.000208656562967,0.0002086559976246,0.1327676160544614,0.1327662766008623,-0.0055737441011933,-0.0090904666177624,-1.5386250460231037e-05,,,,,,,,True,-0.0090904666177624,-1.5386250460231037e-05,-0.0055737441011933,0.0055737441011933,0.0036233629898012733,0.004480129648627739,0.004476425530571672
312,312,3600,((x1 * -0.009090466621354203) + 0.0055737441027555405) - (x0 * 1.53862504636644e-5),6.887697042185407e-13,9,True,0.0002086565978756,0.000208656032546,0.1327676214456301,0.1327662819783745,0.0055737441027555,-0.0090904666213542,-1.53862504636644e-05,,,,,,,,True,-0.0090904666213542,-1.53862504636644e-05,0.0055737441027555,0.0055737441027555,0.0036233633863500176,0.004480129872772359,0.004476425812104706
318,318,3600,((x1 * -0.00909046663849242) - 0.005573744111250534) + (x0 * -1.5386250485169297e-5),6.887697042238697e-13,9,True,0.0002086566987714,0.0002086561334693,0.1327676586236756,0.1327663190693687,-0.0055737441112505,-0.0090904666384924,-1.5386250485169297e-05,,,,,,,,True,-0.0090904666384924,-1.5386250485169297e-05,-0.0055737441112505,0.0055737441112505,0.0036233652784749466,0.004480131276703795,0.004476427343037557
324,324,3600,((x0 * -1.5386250465720522e-5) + 0.005573744106086911) - (x1 * 0.009090466631603351),6.8876970422592e-13,9,True,0.0002086567868205,0.000208656221597,0.1327676130156339,0.1327662736514897,0.0055737441060869,-0.0090904666316033,-1.5386250465720522e-05,,,,,,,,True,-0.0090904666316033,-1.5386250465720522e-05,0.0055737441060869,0.0055737441060869,0.003623364517891095,0.004480130007004761,0.004476426412475474
330,330,3600,((x0 * -1.538625046335436e-5) + (0.38542347285314554 - (x1 * 0.009090466621114944))) - 0.3909972169557763,6.88769704218944e-13,11,True,0.0002086565966861,0.000208656031356,0.1327676209655069,0.1327662814984914,-0.0055737441026307,-0.0090904666211149,-1.538625046335436e-05,,,,,,,,True,-0.0090904666211149,-1.538625046335436e-05,-0.0055737441026307,0.0055737441026307,0.003623363359930365,0.004480129852531548,0.004476425789613876
336,336,3600,((x0 * 1.688931762269017e-6) + ((x1 * 0.000997850505906514) - 0.0006118237495494212)) * -9.110048617383908,6.887697042187533e-13,11,True,0.0002086565698139,0.0002086560044914,0.132767619815337,0.1327662804399917,0.0055737441036653,-0.0090904666216894,-1.5386250465714627e-05,,,,,,,,True,-0.0090904666216894,-1.5386250465714627e-05,0.0055737441036653,0.0055737441036653,0.0036233634233574876,0.0044801300066198875,0.00447642597606499
342,342,3600,-0.005573744102695415 - ((x0 * 1.5386250463709036e-5) - (x1 * -0.009090466621240714)),6.887697042185479e-13,9,True,0.0002086565957382,0.0002086560304054,0.1327676222271366,0.1327662827494438,-0.0055737441026954,-0.0090904666212407,-1.5386250463709036e-05,,,,,,,,True,-0.0090904666212407,-1.5386250463709036e-05,-0.0055737441026954,0.0055737441026954,0.003623363373819227,0.004480129875686339,0.004476425801273831
348,348,3600,((x1 * -0.009090466633311738) - (x0 * 1.538625046650827e-5)) - -0.005573744105681285,6.887697042274397e-13,9,True,0.0002086568359197,0.0002086562706668,0.1327676279039676,0.1327662882987183,0.0055737441056812,-0.0090904666333117,-1.538625046650827e-05,,,,,,,,True,-0.0090904666333117,-1.538625046650827e-05,0.0055737441056812,0.0055737441056812,0.0036233647065052783,0.004480130058432276,0.004476426339361988
354,354,3600,(x1 * -0.009090466621353715) + (-0.005573744102755273 - (x0 * 1.5386250463669656e-5)),6.887697042185662e-13,9,True,0.0002086565978245,0.0002086560324948,0.1327676214754014,0.1327662820078261,-0.0055737441027552,-0.0090904666213537,-1.5386250463669656e-05,,,,,,,,True,-0.0090904666213537,-1.5386250463669656e-05,-0.0055737441027552,0.0055737441027552,0.00362336338629486,0.004480129873115427,0.004476425812050623
360,360,3600,((x1 * -0.009090466621353719) + (x0 * -1.5386250463669154e-5)) - -0.005573744102755276,6.88769704218532e-13,9,True,0.0002086565978286,0.0002086560324989,0.132767621472746,0.1327662820051981,0.0055737441027552,-0.0090904666213537,-1.5386250463669154e-05,,,,,,,,True,-0.0090904666213537,-1.5386250463669154e-05,0.0055737441027552,0.0055737441027552,0.00362336338629486,0.0044801298730826914,0.004476425812050623
366,366,3600,((x1 * -0.009090466560472488) + -0.005573744075770196) - (x0 * 1.5386250411287373e-5),6.887697043186239e-13,9,True,0.0002086559689947,0.0002086554033388,0.1327675676536874,0.1327662279811715,-0.0055737440757701,-0.0090904665604724,-1.5386250411287373e-05,,,,,,,,True,-0.0090904665604724,-1.5386250411287373e-05,-0.0055737440757701,0.0055737440757701,0.0036233566647592536,0.004480126453376341,0.0044764209489108345
