Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
88399,2025-06-28 00:40:00,0.004809,0.041445,0.029503,0.068741,9.948624,7.034908,68.5636,9999,0,1.00000omega,0.049901 + -0.01259theta + 0.00853omega + -0.00020theta^2 + -0.00115theta omega + -0.00104omega^2 + 0.00002theta^3 + 0.00001theta^2 omega + -0.00079theta omega^2 + 0.00016omega^3,0.002908*omega**3 - 0.000479*omega**2*theta + 0.010297*omega**2 - 3.9e-5*omega*theta + 0.001085*omega - 1.0e-6*theta**2 + 1.6e-5*theta + 0.000134
88400,2025-06-28 00:45:00,0.004186,0.039276,0.027930,0.066165,4.327108,3.060085,25.6050,9999,0,1.00000omega,-0.055161 + -0.03823theta + 0.04785omega + -0.00315theta^2 + 0.00562theta omega + -0.00955omega^2 + -0.00060theta^3 + 0.00001theta^2 omega + 0.00053theta omega^2 + -0.00053omega^3,-0.005048*omega**3 + 0.000168*omega**2*theta - 0.002767*omega**2 + 0.000109*omega*theta + 0.00326*omega - 1.2e-5*theta**2 - 0.000257*theta - 0.002038
88401,2025-06-28 00:50:00,0.004101,0.037929,0.026976,0.082133,3.176682,2.247004,7.2003,9999,0,1.00000omega,0.081471 + -0.07039theta + 0.00488omega + 0.01706theta^2 + -0.00063theta omega + -0.01224omega^2 + -0.00027theta^3 + 0.00007theta^2 omega + -0.00296theta omega^2 + -0.02297omega^3,-0.083243*omega**3 - 0.000358*omega**2*theta - 0.002688*omega**2 - 1.0e-5*omega*theta + 0.0002*omega + 7.0e-6*theta**2 - 0.000138*theta + 0.000732
88402,2025-06-28 00:55:00,0.005543,0.048741,0.034687,0.077401,3.296792,2.331827,3.6396,8142,0,1.00000omega,-0.179911 + -0.29579theta + -0.00450omega + -0.05257theta^2 + 0.00498theta omega + -0.02150omega^2 + -0.00608theta^3 + -0.09841theta^2 omega + -0.03042theta omega^2 + 0.01428omega^3,0.022632*omega**3 - 0.001607*omega**2*theta + 0.01899*omega**2 - 0.000173*omega*theta**2 + 0.0052*omega*theta - 0.039149*omega + 3.0e-6*theta**2 - 0.000166*theta + 0.002226
88403,2025-06-28 01:00:00,0.005613,0.044924,0.032013,0.072033,2.427644,1.717359,8.8722,5923,0,1.00000omega,0.069401 + -0.05247theta + -0.10995omega + 0.00166theta^2 + -0.01575theta omega + 0.00035omega^2 + -0.00153theta^3 + -0.00291theta^2 omega + 0.00668theta omega^2 + -0.02820omega^3,-0.068703*omega**3 + 0.000542*omega**2*theta + 0.010169*omega**2 - 8.0e-6*omega*theta**2 - 0.000442*omega*theta - 0.009156*omega - 7.0e-6*theta**2 - 0.000181*theta - 0.001513
88404,2025-06-28 01:05:00,0.005404,0.051372,0.036526,0.080949,11.327351,8.009851,65.0919,9999,0,1.00000omega,-0.058081 + -0.00778theta + -0.04533omega + 0.00057theta^2 + -0.00133theta omega + -0.01295omega^2 + -0.00006theta^3 + 0.00023theta^2 omega + -0.00098theta omega^2 + -0.00216omega^3,-0.02966*omega**3 - 0.000449*omega**2*theta + 0.000306*omega**2 + 4.0e-6*omega*theta**2 - 0.000172*omega*theta + 0.000529*omega + 2.0e-6*theta**2 - 6.3e-5*theta + 0.000507
88405,2025-06-28 01:10:00,0.006137,0.052639,0.037474,0.079431,10.375791,7.337007,12.1040,8694,0,1.00000omega,-0.030571 + -0.01823theta + -0.00926omega + -0.00924theta^2 + 0.00262theta omega + -0.01011omega^2 + -0.00192theta^3 + 0.00007theta^2 omega + -0.00000theta omega^2 + 0.00185omega^3,0.004822*omega**3 - 0.00298*omega**2 + 2.9e-5*omega*theta - 0.000104*omega - 7.0e-6*theta**2 - 9.7e-5*theta - 0.000515
88406,2025-06-28 01:15:00,0.006254,0.050043,0.035661,0.085173,6.344396,4.486570,20.5565,9999,0,1.00000omega,0.043611 + -0.00413theta + -0.07634omega + -0.00651theta^2 + -0.00458theta omega + 0.01518omega^2 + -0.00062theta^3 + 0.00106theta^2 omega + 0.00149theta omega^2 + 0.00035omega^3,0.00129*omega**3 + 0.000183*omega**2*theta + 0.009217*omega**2 + 4.0e-6*omega*theta**2 + 0.000131*omega*theta - 0.001716*omega - 8.0e-6*theta**2 - 0.000228*theta - 0.001926
88407,2025-06-28 01:20:00,0.005597,0.045650,0.032521,0.081276,11.800877,8.344678,54.8899,9999,0,1.00000omega,-0.000841 + 0.00021theta + 0.03827omega + 0.00155theta^2 + -0.00051theta omega + -0.00425omega^2 + 0.00002theta^3 + -0.00048theta^2 omega + 0.00024theta omega^2 + 0.00161omega^3,0.01816*omega**3 + 9.0e-5*omega**2*theta - 0.000942*omega**2 - 6.0e-6*omega*theta**2 - 0.000232*omega*theta - 0.000961*omega + 2.0e-6*theta**2 + 4.8e-5*theta + 0.000414
88408,2025-06-28 01:25:00,0.004805,0.040973,0.029171,0.059080,3.308294,2.339690,40.4300,9999,0,1.00000omega,-0.039041 + -0.01004theta + -0.00973omega + 0.00078theta^2 + 0.00218theta omega + 0.00258omega^2 + 0.00001theta^3 + -0.00033theta^2 omega + -0.00018theta omega^2 + -0.00091omega^3,-0.010148*omega**3 - 6.7e-5*omega**2*theta - 0.000172*omega**2 - 4.0e-6*omega*theta**2 - 0.000169*omega*theta - 0.001949*omega + 1.0e-6*theta**2 + 2.5e-5*theta + 7.0e-5
