Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
79344,2025-05-27 13:00:00,nan,nan,nan,nan,nan,nan,29188.8496,1319,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79345,2025-05-27 13:05:00,0.004554,0.007426,0.006160,0.118278,14.407610,10.188062,292.6716,8920,0,1.00000omega,0.000841 + -0.00238theta + 0.02833omega + -0.00087theta^2 + 0.00398theta omega + -0.00718omega^2 + -0.00043theta^3 + -0.00015theta^2 omega + -0.00164theta omega^2 + 0.00347omega^3,0.032452*omega**3 - 0.000511*omega**2*theta - 0.012293*omega**2 - 2.0e-6*omega*theta**2 + 2.4e-5*omega*theta + 0.001735*omega - 8.0e-6*theta**2 - 0.000137*theta - 0.000817,1.184108e-04,9.749388e-06
79346,2025-05-27 13:10:00,0.005362,0.012324,0.009503,0.077675,2.979060,2.107229,112.5485,8729,0,1.00000omega,0.107921 + -0.20746theta + 0.02439omega + 0.00658theta^2 + -0.01449theta omega + -0.00210omega^2 + -0.00383theta^3 + 0.00426theta^2 omega + -0.03782theta omega^2 + 0.00097omega^3,0.002554*omega**3 - 0.003319*omega**2*theta + 0.002809*omega**2 + 1.2e-5*omega*theta**2 - 0.000169*omega*theta + 0.000974*omega + 3.0e-6*theta**2 - 0.000236*theta + 0.000646,1.964458e-04,1.907582e-05
79347,2025-05-27 13:15:00,0.005644,0.033442,0.023981,0.138964,13.785706,9.748462,1344.3914,9999,0,1.00000omega,0.227661 + -0.03162theta + 0.01420omega + 0.00500theta^2 + 0.00020theta omega + -0.00085omega^2 + -0.00005theta^3 + -0.00002theta^2 omega + -0.00020theta omega^2 + -0.00060omega^3,-0.016107*omega**3 - 0.000179*omega**2*theta + 0.003114*omega**2 - 0.e-6*omega*theta**2 + 3.2e-5*omega*theta + 4.9e-5*omega + 9.0e-6*theta**2 - 0.000337*theta + 0.004077,3.592194e-04,7.183290e-06
79348,2025-05-27 13:20:00,0.017092,0.063045,0.046189,0.058813,5.104657,3.609777,5140.3745,9999,0,1.00000omega,0.024971 + 0.00150theta + 0.05382omega + -0.00054theta^2 + 0.00013theta omega + 0.00333omega^2 + 0.00001theta^3 + -0.00061theta^2 omega + -0.00281theta omega^2 + 0.00014omega^3,0.001619*omega**3 - 0.001083*omega**2*theta + 0.038857*omega**2 - 8.0e-6*omega*theta**2 + 0.000535*omega*theta - 0.007338*omega - 0.e-6*theta**2 + 4.2e-5*theta - 0.000609,1.270668e-04,1.177316e-06
79349,2025-05-27 13:25:00,0.009303,0.038737,0.028170,0.053250,1.445240,1.022632,713.6868,9999,0,1.00000omega,0.006011 + -0.03096theta + 0.00871omega + -0.01195theta^2 + -0.00366theta omega + -0.00387omega^2 + -0.00070theta^3 + 0.00036theta^2 omega + 0.00041theta omega^2 + -0.00164omega^3,-0.008835*omega**3 + 7.4e-5*omega**2*theta - 0.003212*omega**2 + 2.0e-6*omega*theta**2 - 0.000144*omega*theta + 0.002376*omega + 3.0e-6*theta**2 + 1.5e-5*theta - 0.000455,4.146271e-04,9.614059e-06
79350,2025-05-27 13:30:00,0.005302,0.006789,0.006091,0.089056,7.334147,5.186407,200.3447,7721,0,1.00000omega,-0.134571 + -0.03030theta + -0.21447omega + 0.04205theta^2 + 0.11661theta omega + -0.09897omega^2 + -0.01838theta^3 + -0.08507theta^2 omega + 0.17594theta omega^2 + 0.02781omega^3,0.132545*omega**3 + 0.027951*omega**2*theta - 0.183766*omega**2 - 0.000451*omega*theta**2 + 0.006201*omega*theta - 0.027158*omega - 3.0e-6*theta**3 + 6.9e-5*theta**2 - 0.000485*theta + 0.000742,7.663696e-05,1.446149e-05
79351,2025-05-27 13:35:00,0.004952,0.005167,0.005061,0.057775,1.932476,1.367078,309.8457,6829,0,1.00000omega,-0.007031 + -0.19701theta + 0.12910omega + 0.43906theta^2 + 0.02471theta omega + 0.15909omega^2 + -0.18998theta^3 + -0.01162theta^2 omega + -0.01498theta omega^2 + 0.06580omega^3,0.552714*omega**3 - 0.004194*omega**2*theta + 0.082737*omega**2 - 0.000108*omega*theta**2 + 0.000361*omega*theta + 0.004441*omega - 5.9e-5*theta**3 + 0.000197*theta**2 - 6.2e-5*theta - 6.2e-5,1.560038e-04,1.287194e-05
79352,2025-05-27 13:40:00,0.004915,0.005323,0.005123,0.090445,3.259183,2.305478,219.1847,5181,0,1.00000omega,-0.067621 + -0.57524theta + -0.12043omega + -0.08885theta^2 + 0.00651theta omega + -0.34767omega^2 + -0.08426theta^3 + -0.01477theta^2 omega + -0.06633theta omega^2 + -0.04716omega^3,-0.285179*omega**3 - 0.01337*omega**2*theta - 0.075119*omega**2 - 9.9e-5*omega*theta**2 + 0.001299*omega*theta - 0.008244*omega - 1.9e-5*theta**3 + 0.000299*theta**2 - 0.002179*theta + 0.00627,1.566249e-04,1.158044e-05
79353,2025-05-27 13:45:00,0.005416,0.005673,0.005546,0.123290,4.803308,3.397570,228.1789,5989,0,1.00000omega,-0.039351 + -0.14394theta + 0.21633omega + -0.01049theta^2 + 0.01056theta omega + -0.00058omega^2 + -0.00947theta^3 + -0.00107theta^2 omega + -0.00253theta omega^2 + 0.01841omega^3,0.094537*omega**3 - 0.000433*omega**2*theta - 0.001428*omega**2 - 6.0e-6*omega*theta**2 + 0.000112*omega*theta + 0.007564*omega - 2.0e-6*theta**3 - 2.0e-5*theta**2 - 0.000227*theta - 0.000618,1.492240e-04,1.747546e-05
